chembl_id,drug_name,mesh_id,mesh_heading,efo_id,efo_term,max_phase_for_ind,indication_refs
CHEMBL404,TAZOBACTAM,D007239,Infections,EFO:0000544,infection,3.0,"""NCT00003805,NCT01147640,NCT01994993,NCT02266706,NCT02466438,NCT02725216,NCT02739997,NCT03217136,NCT03830333,NCT04042077"""
CHEMBL404,TAZOBACTAM,D011552,Pseudomonas Infections,EFO:0001076,Pseudomonas infection,3.0,NCT01577368
CHEMBL404,TAZOBACTAM,D000038,Abscess,EFO:0003030,abscess,3.0,NCT00629135
CHEMBL404,TAZOBACTAM,D010019,Osteomyelitis,EFO:0003102,osteomyelitis,0.5,NCT02099240
CHEMBL404,TAZOBACTAM,D011014,Pneumonia,EFO:0003106,pneumonia,3.0,"""NCT00253955,NCT01853982,NCT02387372,NCT02735707,NCT04223752"""
CHEMBL404,TAZOBACTAM,D010033,Otitis Media,EFO:0004992,Otitis media,1.0,NCT02817347
CHEMBL404,TAZOBACTAM,D012772,"""Shock, Septic""",EFO:0006834,septic shock,3.0,NCT02820987
CHEMBL404,TAZOBACTAM,D018410,"""Pneumonia, Bacterial""",EFO:1001272,bacterial pneumonia,3.0,"""NCT02493764,NCT03006679"""
CHEMBL404,TAZOBACTAM,D041881,"""Cholecystitis, Acute""",EFO:1001289,"""Cholecystitis, Acute""",3.0,NCT02619149
CHEMBL404,TAZOBACTAM,D017719,Diabetic Foot,EFO:1001459,diabetic foot,3.0,NCT00229112
CHEMBL8,CIPROFLOXACIN,D000881,Anthrax,EFO:0000778,anthrax infection,2.0,"""NCT00138411,NCT00964561,NCT01753115,NCT01952444,NCT04067011"""
CHEMBL8,CIPROFLOXACIN,D007239,Infections,EFO:0000544,infection,4.0,"""NCT00002850,NCT01659866,NCT01756924,NCT01757236,NCT01789203,NCT02357407,NCT02505581,NCT02734732,NCT03150082,NCT03358576,NCT03840811,NCT04870138,NCT05442736,NCT05863832; 19df63de-9f44-40ce-9a4f-0c96345b8a23; 231b60f5-4b72-4f8f-a19e-b7068a601c3a; 457d7810-23f1-4318-9561-2cd58a9cf973; 4a3cec22-74d0-440a-a9f4-4d5f02e8417a; 5a4327fb-9517-46d6-8d54-a5f2c1520442; 65fff92f-b51b-4f5e-20bd-b651e613578d; 6d8d72fe-e89c-4e08-9ca1-ec64c4890205; 6f41228b-974a-443b-a313-2fbb3d845915; 7049f870-6741-4a67-8033-398c36126a06; 7217ffdd-bcd2-48b7-a397-da966ea533bd; 7acb5b4b-5330-46b0-a400-90095826be43; 8e5e9dff-19e8-3098-e053-2a95a90aa96a; 9deb95f4-83a0-4928-a55d-41f7f02bb3f3; a341d31b-a011-457a-76a1-a96146d2924e; a40db6da-17c6-430c-a247-9900f5863f7c; a57066d7-dc2c-d2d0-b003-d9143fcca1c5; b92f9206-325e-4454-9518-4f7464b23f47; ba0f2532-b1ab-48c1-8476-aaae04ee98aa; c14a40f7-6cd7-49c2-9e66-27cbff612257; c55c5615-e0ea-4f73-9242-bca00c241507; c7cea146-f179-5620-e053-2995a90acf83; d4730085-b38e-43ce-bb51-2532da0a3e2b; d9c8fcd9-bbe2-4ae7-bc44-74abd507d770; e82f52f2-ecf8-4c04-a206-f3253b265903; f8f4461c-c9fa-451b-ba24-b080c8bfc2d7"""
CHEMBL8,CIPROFLOXACIN,D014552,Urinary Tract Infections,EFO:0003103,urinary tract infection,4.0,"""NCT00126698,NCT00481689,NCT00598403,NCT00663806,NCT00668122,NCT00669994,NCT00676533,NCT00722735,NCT00809913,NCT01505634,NCT01803191,NCT03354598,NCT03357614; 19df63de-9f44-40ce-9a4f-0c96345b8a23; 457d7810-23f1-4318-9561-2cd58a9cf973; 4a3cec22-74d0-440a-a9f4-4d5f02e8417a; 65fff92f-b51b-4f5e-20bd-b651e613578d; 9deb95f4-83a0-4928-a55d-41f7f02bb3f3; a341d31b-a011-457a-76a1-a96146d2924e; a40db6da-17c6-430c-a247-9900f5863f7c; b92f9206-325e-4454-9518-4f7464b23f47; c55c5615-e0ea-4f73-9242-bca00c241507; d4730085-b38e-43ce-bb51-2532da0a3e2b; f8f4461c-c9fa-451b-ba24-b080c8bfc2d7"""
CHEMBL8,CIPROFLOXACIN,D016553,"""Purpura, Thrombocytopenic, Idiopathic""",EFO:0007160,autoimmune thrombocytopenic purpura,1.0,NCT00688272
CHEMBL8,CIPROFLOXACIN,D029424,"""Pulmonary Disease, Chronic Obstructive""",EFO:0000341,chronic obstructive pulmonary disease,3.0,"""NCT00961038,NCT01072942,NCT02300220,NCT04879030"""
CHEMBL8,CIPROFLOXACIN,D003424,Crohn Disease,EFO:0000384,Crohn's disease,2.0,"""NCT00257699,NCT00609973,NCT01783106,NCT02620007,NCT02765256,NCT03476317"""
CHEMBL8,CIPROFLOXACIN,D003967,Diarrhea,HP:0002014,Diarrhea,3.0,NCT01208922
CHEMBL8,CIPROFLOXACIN,D001987,Bronchiectasis,HP:0002110,Bronchiectasis,3.0,"""NCT00889967,NCT00930982,NCT01515007,NCT01764841,NCT02104245,NCT02106832"""
CHEMBL8,CIPROFLOXACIN,D006526,Hepatitis C,EFO:0003047,hepatitis C virus infection,1.0,NCT01124799
CHEMBL8,CIPROFLOXACIN,D003141,Communicable Diseases,EFO:0005741,infectious disease,3.0,NCT00761462
CHEMBL9,NORFLOXACIN,D008103,Liver Cirrhosis,EFO:0001422,cirrhosis of liver,3.0,"""NCT01037959,NCT01134692"""
CHEMBL9,NORFLOXACIN,D010019,Osteomyelitis,EFO:0003102,osteomyelitis,0.5,NCT02099240
CHEMBL9,NORFLOXACIN,D001424,Bacterial Infections,EFO:0000771,bacterial disease,4.0,J01MA06
CHEMBL9,NORFLOXACIN,D010538,Peritonitis,EFO:0008588,peritonitis,3.0,"""NCT04159870,NCT04161768,NCT04746937"""
CHEMBL9,NORFLOXACIN,D004932,Esophageal and Gastric Varices,EFO:0009545,esophageal varices,3.0,NCT01134692
CHEMBL9,NORFLOXACIN,D015817,Eye Infections,EFO:1001888,eye infection,4.0,S01AE02
CHEMBL9,NORFLOXACIN,D000096722,"""Cystitis, Hemorrhagic""",EFO:1000025,cystitis,3.0,NCT01527019
CHEMBL9,NORFLOXACIN,D022861,Hermanski-Pudlak Syndrome,MONDO:0019312,Hermansky-Pudlak syndrome,2.0,NCT00362752
CHEMBL405,AMPHETAMINE,D019970,Cocaine-Related Disorders,EFO:0002610,cocaine dependence,1.0,"""NCT00697138,NCT00733993,NCT01986075,NCT02383043"""
CHEMBL405,AMPHETAMINE,D001289,Attention Deficit Disorder with Hyperactivity,EFO:0003888,attention deficit hyperactivity disorder,4.0,"""N06BA01; NCT00151996,NCT00393042,NCT00506727,NCT00507065,NCT00557960,NCT00889915,NCT00928148,NCT01010750,NCT01399827,NCT02478788,NCT02566824,NCT03088267,NCT03153488,NCT03610464,NCT03834766,NCT04240756; 793b3172-37a1-41d3-9c6e-be4314b20cbb; a8a7eb93-4192-4826-bbf1-82c06634f553; c1179269-00b5-48ea-972d-31e614e99b7e; eb1cc8d0-4231-41ea-8535-4fd872129713"""
CHEMBL405,AMPHETAMINE,D003071,Cognition,EFO:0003925,cognition,2.0,NCT03893032
