Name of the Plant,Family,Common Name,Link,Uses
Aconitum falconeri  Stapf,RANUNCULACEAE,Bis (Gharwal),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009927&column=szBarcode,"""UNKNOWN USE"""
Aconitum heterophyllum  Wall. ex Royle,RANUNCULACEAE,Atis,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009938&column=szBarcode,"""UNKNOWN USE"""
Aconitum laciniatum  (Bruhl) Stapf,RANUNCULACEAE,Kalo bikhoma (Sikkim),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009933&column=szBarcode,"""UNKNOWN USE"""
Aconitum novoluridum  Munz,RANUNCULACEAE,Mahoor,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009928&column=szBarcode,"""UNKNOWN USE"""
Aconitum spicatum  (Bruhl) Stapf,RANUNCULACEAE,Bikh or Bish (Nepal & Sikkim),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009934&column=szBarcode,"""UNKNOWN USE"""
Aconitum violaceum  Jacq. Ex Stapf,RANUNCULACEAE,Tilia Kachang (Sutlej Basin),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009931&column=szBarcode,"""UNKNOWN USE"""
Acorus calamus  L.,ARACEAE,"Bach, Gora-bach",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003221&column=szBarcode,"""UNKNOWN USE"""
Acronychia pedunculata  (L.) Miq.,RUTACEAE,Paowlay (Nepal),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009965&column=szBarcode,"""UNKNOWN USE"""
Actaea spicata  L.,RANUNCULACEAE,Vishaphala (Kan.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009925&column=szBarcode,"""UNKNOWN USE"""
Actiniopteris radiata(Swartz)  Link,ACTINIOPTERIDACEAE,"Morpankhi, Morshikha (Local names)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003275&column=szBarcode,"""UNKNOWN USE"""
Actinodaphne hookeri  Meissn.,LAURACEAE,Tudambo (Oriya),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008845&column=szBarcode,"""UNKNOWN USE"""
Adansonia digitata  L.,BOMBACACEAE,"Gorak, Amli",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003871&column=szBarcode,"""UNKNOWN USE"""
Adenanthera pavonia  L.,MIMOSACEAE,"Barigumchi, Kunchandana (Sans.)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003924&column=szBarcode,"""UNKNOWN USE"""
Adenia wightiana  (Wall. ex Wight & Arn.) Engl.,PASSIFLORACEAE,Perumkorattaikodi (Tam.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013800&column=szBarcode,"""UNKNOWN USE"""
Adenostemma lavenia  (L.) Kuntze,ASTERACEAE,Jangli-jira,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013621&column=szBarcode,"""UNKNOWN USE"""
Adiantum capillus-veneris  L.,ADIANTACEAE,"Hansraj, Mubaraka",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003282&column=szBarcode,"""UNKNOWN USE"""
Adiantum caudatum  L.,ADIANTACEAE,Mayurshikha (Sans.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003284&column=szBarcode,"""UNKNOWN USE"""
Adiantum philippense  L.,ADIANTACEAE,Kalijhant,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003285&column=szBarcode,"""UNKNOWN USE"""
Adiantum venustum  D.Don,ADIANTACEAE,Mayir sikki (Tam.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003279&column=szBarcode,"""UNKNOWN USE"""
Adonis aestivalis  L.,RANUNCULACEAE,Summer Pheasant's Eye (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009952&column=szBarcode,"""UNKNOWN USE"""
Aegle marmelos  (L.) Corr.,RUTACEAE,Bel,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013488&column=szBarcode,"""UNKNOWN USE"""
Aerva javanica  (Burm.f.) Juss. ex Schult.,AMARANTHACEAE,Bur (Guj.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008910&column=szBarcode,"""UNKNOWN USE"""
