Name of the Plant,Family,Common Name,Link,Uses
Carthamus tinctorius  L.,ASTERACEAE,"Kusum, Karrah",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013657&column=szBarcode,"""UNKNOWN USE"""
Carum carvi  L.,APIACEAE,"Shia-jira, Zira",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013756&column=szBarcode,"""UNKNOWN USE"""
Caryota urens  L.,ARECACEAE,Mari,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003196&column=szBarcode,"""UNKNOWN USE"""
Casaeria graveolens  Dalzell,SAMYDACEAE,Safed-Karai,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013803&column=szBarcode,"""UNKNOWN USE"""
Casearia elliptica  Willd.,SAMYDACEAE,Chilla,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013802&column=szBarcode,"""UNKNOWN USE"""
Cassia angustifolia  Vahl,CAESALPINIACEAE,Bhuikhakhasa,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003495&column=szBarcode,"""UNKNOWN USE"""
Cassia mimosoides  L.,CAESALPINIACEAE,Naelaponna (Tel.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003496&column=szBarcode,"""UNKNOWN USE"""
Cassia pumila  Lam.,CAESALPINIACEAE,Sarmal (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003497&column=szBarcode,"""UNKNOWN USE"""
Cassia absus  L.,CAESALPINIACEAE,"Chaksu, Chakut",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003498&column=szBarcode,"""UNKNOWN USE"""
Cassia alata  L.,CAESALPINIACEAE,"Dadmurdan, Datkapat",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003500&column=szBarcode,"""UNKNOWN USE"""
Cassia alata  L.,CAESALPINIACEAE,"Dadmurdan, Datkapat",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003501&column=szBarcode,"""UNKNOWN USE"""
Cassia auriculata  L.,CAESALPINIACEAE,"Tarwar, Taroda",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003503&column=szBarcode,"""UNKNOWN USE"""
Cassia fistula  L.,CAESALPINIACEAE,Amaltas,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003513&column=szBarcode,"""Flowers and pods purgative, febrifugal, astringent, antibilious."""
Cassia italica  (Mill.) Spreng,CAESALPINIACEAE,Italian Senna (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003502&column=szBarcode,"""UNKNOWN USE"""
Cassia obtusifolia  L.,CAESALPINIACEAE,Panevar,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003505&column=szBarcode,"""UNKNOWN USE"""
Cassia occidentalis  L.,CAESALPINIACEAE,"Kasondi, Chakunda",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003511&column=szBarcode,"""UNKNOWN USE"""
Cassia siamea  Lam.,CAESALPINIACEAE,Kassod (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003509&column=szBarcode,"""UNKNOWN USE"""
Cassia sophera  L.,CAESALPINIACEAE,Kasunda,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003508&column=szBarcode,"""UNKNOWN USE"""
Cassia tora  L.,CAESALPINIACEAE,"Chakunda, Panevar",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003504&column=szBarcode,"""UNKNOWN USE"""
Cassytha filiformis  L.,LAURACEAE,Amarbeli,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009905&column=szBarcode,"""UNKNOWN USE"""
Castanea sativa  Mill.,FAGACEAE,Sweet Chestnut (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008922&column=szBarcode,"""UNKNOWN USE"""
Castanospermum australe  A.Cunn. ex Mudie,FABACEAE,Black bean (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003631&column=szBarcode,"""UNKNOWN USE"""
Casuarina equisetifolia  L.,CASUARINACEAE,Jangli saru,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009008&column=szBarcode,"""UNKNOWN USE"""
Catharanthus pusillus  (Murray) G.Don,APOCYNACEAE,Sangkhi (Sans.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009292&column=szBarcode,"""UNKNOWN USE"""
Catharanthus roseus  (L.) G. Don,APOCYNACEAE,"Sadabahar, Nayantara (Beng.)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009293&column=szBarcode,"""UNKNOWN USE"""
Cayratia pedata  (Lam.) Juss. ex Gagnep.,VITACEAE,Godhapadi (Sans.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003588&column=szBarcode,"""UNKNOWN USE"""
Cayratia trifolia  (L.) Domin.,VITACEAE,"Amal-bel, Ramchana",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003584&column=szBarcode,"""UNKNOWN USE"""
Cedrus deodara  (Roxb.ex D.Don) G.Don,PINACEAE,Devadaru (Sans.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009741&column=szBarcode,"""UNKNOWN USE"""
Ceiba pentandra  (L.) Gaertn.,BOMBACACEAE,"Safed simal, Hattian",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003870&column=szBarcode,"""UNKNOWN USE"""
Celastrus paniculatus  Willd.,CELASTRACEAE,Malkangni,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003603&column=szBarcode,"""UNKNOWN USE"""
Celosia argentia  L.,AMARANTHACEAE,"Sufaid murgha, Sarwari",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008907&column=szBarcode,"""UNKNOWN USE"""
Celtis caucasia  Willd.,ULMACEAE,Caucasian hackberry (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009003&column=szBarcode,"""UNKNOWN USE"""
Celtis cinnamomea  Lindl.,ULMACEAE,Pinari (Tam.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009015&column=szBarcode,"""UNKNOWN USE"""
Cenchrus biflorus  Roxb.,POACEAE,Bhurat (Local name),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003162&column=szBarcode,"""UNKNOWN USE"""
Centaurea calcitrapa  L.,ASTERACEAE,Purple star thistle (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013658&column=szBarcode,"""UNKNOWN USE"""
Centella asiatica  (L.) Urban,APIACEAE,Brahma-manduki,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013765&column=szBarcode,"""UNKNOWN USE"""
Centipeda minima  (L.) A.Braun & Asch.,ASTERACEAE,"Nakk-chikni, Nagdowana",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013661&column=szBarcode,"""UNKNOWN USE"""
Centranthera indica  (L.) Gamble,SCROPHULARIACEAE,Undir-kani (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009671&column=szBarcode,"""UNKNOWN USE"""
Cephaelis ipecacuanha  (Brot.) A.Rich.,RUBIACEAE,Ipecac (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013594&column=szBarcode,"""UNKNOWN USE"""
Ceratonia siliqua  L.,CAESALPINIACEAE,Kharnub (Punjab),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003494&column=szBarcode,"""UNKNOWN USE"""
Ceratophyllum demursum  L.,CERATOPHYLLACEAE,Sivara,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008921&column=szBarcode,"""UNKNOWN USE"""
Ceratopteris thaictroides  Brong.,PARKERIACEAE,Pan-necha (Local name),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003272&column=szBarcode,"""UNKNOWN USE"""
Cerbera manghas  L.,APOCYNACEAE,Dabur (Beng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009290&column=szBarcode,"""UNKNOWN USE"""
Cereus grandiflorus  Mill.,CACTACEAE,Night-Blooming Cereus,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013775&column=szBarcode,"""UNKNOWN USE"""
Ceriops tagal  (Perr.) C.B.Rob.,RHIZOPHORACEAE,Goran (Beng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013708&column=szBarcode,"""UNKNOWN USE"""
Ceropegia tuberosa  Roxb.,ASCLEPIADACEAE,Bhutumbi (Sanskrit),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009247&column=szBarcode,"""UNKNOWN USE"""
Cheiranthus cheiri  L.,BRASSICACEAE,Wall Flower (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003766&column=szBarcode,"""UNKNOWN USE"""
Chenopodium album  L.,CHENOPODIACEAE,Bethu sag,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008920&column=szBarcode,"""UNKNOWN USE"""
Chenopodium ambrosioides  L.,CHENOPODIACEAE,"Khatua, Katu ayamoddakam (Mal.)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008833&column=szBarcode,"""UNKNOWN USE"""
Chenopodium botrys  L.,CHENOPODIACEAE,Sokana (Local name),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008832&column=szBarcode,"""UNKNOWN USE"""
Chloranthus elatior  Link,CHLORANTHACEAE,Tall Chloranthus (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008867&column=szBarcode,"""UNKNOWN USE"""
Chloris virgata  Sw.,POACEAE,Gharaniagas (Rajasthan),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003191&column=szBarcode,"""UNKNOWN USE"""
Chlorophytum arundinaceum  Baker,LILIACEAE,Safed musli,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003089&column=szBarcode,"""UNKNOWN USE"""
Chloroxylon swietenia  DC.,RUTACEAE,"Bhirra, Girya",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009974&column=szBarcode,"""UNKNOWN USE"""
Chondrus crispus  Stackh.,GIGARTINIACEAE,Irish Moss (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003907&column=szBarcode,"""UNKNOWN USE"""
Chrozophora plicata  A.Juss.,EUPHORBIACEAE,Neelkanthi (Local name),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008974&column=szBarcode,"""UNKNOWN USE"""
Chrozophora rottleri  (Geis.) A.Juss.ex Spreng.,EUPHORBIACEAE,"Subali, Khudi-okra (Beng.)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008973&column=szBarcode,"""UNKNOWN USE"""
Chrysanthemum coronarium  L.,ASTERACEAE,Guldaudi,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013664&column=szBarcode,"""UNKNOWN USE"""
Chrysanthemum indicum  L.,ASTERACEAE,Guldaudi,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013665&column=szBarcode,"""UNKNOWN USE"""
Chrysobalanus icaco  L.,ROSACEAE,Coco Plum (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013731&column=szBarcode,"""UNKNOWN USE"""
Cicer arietinum  L.,FABACEAE,"But, Chana",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003665&column=szBarcode,"""UNKNOWN USE"""
Cichorium endivia  L.,ASTERACEAE,"Kasini, Kashini",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013667&column=szBarcode,"""UNKNOWN USE"""
Cichorium intybus  L.,ASTERACEAE,"Kasani, Kashini",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013666&column=szBarcode,"""UNKNOWN USE"""
Cicuta virosa  L,APIACEAE,Water Hemlock (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013753&column=szBarcode,"""UNKNOWN USE"""
Cimicifuga foetida  L.,RANUNCULACEAE,Jiunti (Punjab),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009924&column=szBarcode,"""UNKNOWN USE"""
Cinchona officinalis  L.f.,RUBIACEAE,Cinchona (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013580&column=szBarcode,"""UNKNOWN USE"""
Cinnamomum cassia  Benth.,LAURACEAE,Chinese Cinnamon (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008851&column=szBarcode,"""UNKNOWN USE"""
Cinnamomum glanduliferum  (Wall.) Meissn.,LAURACEAE,Gunserai (Assam),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008859&column=szBarcode,"""UNKNOWN USE"""
Cinnamomum glausescens  (Nees) Hand.-Mazz.,LAURACEAE,Rohu (Beng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008846&column=szBarcode,"""UNKNOWN USE"""
Cinnamomum impressinervium  Meissn.,LAURACEAE,Tejiya (Assamese),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008855&column=szBarcode,"""UNKNOWN USE"""
Cinnamomum macrocarpum  Hook.f.,LAURACEAE,Tejapatra (Sans.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008850&column=szBarcode,"""UNKNOWN USE"""
Cinnamomum obtusifolium  (Roxb.) Nees,LAURACEAE,"Kinton, Ram tezpat (Beng.)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008853&column=szBarcode,"""UNKNOWN USE"""
Cinnamomum pauciflorum  Nees,LAURACEAE,Dinglatterdop (Khasi Hills),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008858&column=szBarcode,"""UNKNOWN USE"""
Cinnamomum tamala  (Buch.-Ham.) T.Nees & C.H.Eberm.,LAURACEAE,Tejpatra,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008857&column=szBarcode,"""UNKNOWN USE"""
Cinnamomum verum  J.Presl.,LAURACEAE,Dalchini,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008843&column=szBarcode,"""UNKNOWN USE"""
Cinnamomum camphora  (L.) Sieb.,LAURACEAE,"Kapur, Karpur",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008861&column=szBarcode,"""UNKNOWN USE"""
Cirsium arvense  (L.) Scop.,ASTERACEAE,Creeping Thistle (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013668&column=szBarcode,"""UNKNOWN USE"""
Cissampelos pareira  L.,MENISPERMACEAE,Akanadi,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013495&column=szBarcode,"""UNKNOWN USE"""
Cissus adnata  Roxb.,VITACEAE,Nadena (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003589&column=szBarcode,"""UNKNOWN USE"""
Cissus pallida  (Wight & Arn.) Planch.,VITACEAE,Kondage (Kan.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003592&column=szBarcode,"""UNKNOWN USE"""
Cissus quadrangularis  L.,VITACEAE,"Hadjora, Harsankari",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003593&column=szBarcode,"""UNKNOWN USE"""
Cissus repens  Lam.,VITACEAE,Nelaboddu (Tel.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003595&column=szBarcode,"""UNKNOWN USE"""
Cistanche tabulosa  (Schrenk) Wight,OROBANCHACEAE,Pilo agio (Gujrati),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009669&column=szBarcode,"""UNKNOWN USE"""
Citrullus colocynthis  (L.) Schrad.,CUCURBITACEAE,"Indrayan, Makal",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013787&column=szBarcode,"""UNKNOWN USE"""
Citrus aurantifolia  (Christm.) Swingle,RUTACEAE,Kaghzi-nimbu,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013474&column=szBarcode,"""UNKNOWN USE"""
Citrus aurantium  L.,RUTACEAE,Khatta,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013492&column=szBarcode,"""UNKNOWN USE"""
Citrus grandis  (L.) Osbeck.,RUTACEAE,"Chakotra, Mahanimbu",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013473&column=szBarcode,"""UNKNOWN USE"""
Citrus medica  L.,RUTACEAE,"Bara nimbu, Bijaura",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013476&column=szBarcode,"""UNKNOWN USE"""
Citrus sinensis  (L.) Osbeck.,RUTACEAE,"Musambi, Narangi",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013472&column=szBarcode,"""UNKNOWN USE"""
Claoxylon indicum  Hassk.,EUPHORBIACEAE,Laping Budak (Malay),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008972&column=szBarcode,"""UNKNOWN USE"""
Clausena excavata  Burm.f.,RUTACEAE,Cemamar,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009964&column=szBarcode,"""UNKNOWN USE"""
Clausena pentaphylla  (Roxb.) DC.,RUTACEAE,Ratanjote,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009963&column=szBarcode,"""UNKNOWN USE"""
Cleistanthus collinus  (Roxb.) Benth. ex Hook.f.,EUPHORBIACEAE,Garari,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008955&column=szBarcode,"""UNKNOWN USE"""
Clematis gauriana  Roxb. ex DC.,RANUNCULACEAE,Telejadari (Kan.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009957&column=szBarcode,"""UNKNOWN USE"""
Clematis smilacifolia  Wall.,RANUNCULACEAE,Gurraputige (Tel.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009959&column=szBarcode,"""UNKNOWN USE"""
Clematis triloba  B.Heyne ex Roth,RANUNCULACEAE,Murhari,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009958&column=szBarcode,"""UNKNOWN USE"""
Cleome chelidoni  L.,CAPPARACEAE,Gulabi Tilwan (Local names),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003742&column=szBarcode,"""UNKNOWN USE"""
Cleome gynandra  (L.) L.,CAPPARACEAE,"Hulul, Churota",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003741&column=szBarcode,"""UNKNOWN USE"""
Cleome monophylla  L.,CAPPARACEAE,Velakkeerai (Local name),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003747&column=szBarcode,"""UNKNOWN USE"""
Cleome vahliana  Fresen.,CAPPARACEAE,Panwar (Urdu),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003745&column=szBarcode,"""UNKNOWN USE"""
Cleome viscosa  L.,CAPPARACEAE,"Hulhul, Hurhur",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003743&column=szBarcode,"""UNKNOWN USE"""
Clerodendrum inerme  (L.f.) Gaertn.,VERBENACEAE,"Lanjai, Sangkupi",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009078&column=szBarcode,"""UNKNOWN USE"""
Clerodendrum multiflorum  (Burm.f.) Kuntze,VERBENACEAE,Arni,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009079&column=szBarcode,"""UNKNOWN USE"""
Clerodendrum philippenum  Schauer,VERBENACEAE,Satabeli (Beng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009077&column=szBarcode,"""UNKNOWN USE"""
Clerodendrum serratum  (L.) Moon,VERBENACEAE,"Barangi, Bamanhati (Beng.)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009074&column=szBarcode,"""UNKNOWN USE"""
Clerodendrum viscosum  Vent.,VERBENACEAE,Bhant,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009076&column=szBarcode,"""UNKNOWN USE"""
Clinopodium vulgare  L.,LAMIACEAE,Cushion Calamint (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008896&column=szBarcode,"""UNKNOWN USE"""
Clitoria ternatia  L.,FABACEAE,Aparajit,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003629&column=szBarcode,"""UNKNOWN USE"""
Cocccinia grandis  (L.) Voigt.,CUCURBITACEAE,"Bhimb, Telakucha (Beng.)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013789&column=szBarcode,"""UNKNOWN USE"""
Coccoloba uvifera  L.,POLYGONACEAE,Sea grape (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008878&column=szBarcode,"""UNKNOWN USE"""
Cocculus hirsutus  (L.) Diels,MENISPERMACEAE,Jamtikibel,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013990&column=szBarcode,"""UNKNOWN USE"""
Cocculus laurifolius  DC.,MENISPERMACEAE,Laurel-Leaved Snail Tree (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013992&column=szBarcode,"""UNKNOWN USE"""
Cocculus pendulus  (J.R.Forst. & G.Forst.) Diels,MENISPERMACEAE,Illarbillar (Punjab),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013989&column=szBarcode,"""UNKNOWN USE"""
Cochlospermum religiosum  (L.) Alston,COCHLOSPERMACEAE,"Kumbi, Galgal",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003833&column=szBarcode,"""UNKNOWN USE"""
Cocos nucifera  L.,ARECACEAE,Nariyal,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003202&column=szBarcode,"""UNKNOWN USE"""
Codiaeum variegatum  Blume,EUPHORBIACEAE,Patabahari (Beng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008975&column=szBarcode,"""UNKNOWN USE"""
Codonopsis ovata  Benth.,CAMPANULACEAE,Kashmir Bonnet Bellflower (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009232&column=szBarcode,"""UNKNOWN USE"""
Coffea arabica  L.,RUBIACEAE,Arabian coffee (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013572&column=szBarcode,"""UNKNOWN USE"""
Coix lacryma-jobi  L.,POACEAE,Sankru,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003165&column=szBarcode,"""UNKNOWN USE"""
Colchicum luteum  Baker,LILIACEAE,"Suranjana (Guj., Hind. & Mar.)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003076&column=szBarcode,"""UNKNOWN USE"""
Coldenia procumbens  L.,BORAGINACEAE,Tripungki,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013155&column=szBarcode,"""UNKNOWN USE"""
Colebrookea oppositifolia  Sm.,LAMIACEAE,"Binda, Pansra",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008894&column=szBarcode,"""UNKNOWN USE"""
Coleus amboinicus  Lour.,LAMIACEAE,Pathorchur,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008902&column=szBarcode,"""UNKNOWN USE"""
Coleus scutallarioides  (L.) Benth.,LAMIACEAE,Coleus (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008903&column=szBarcode,"""UNKNOWN USE"""
Colocasia esculenta  (L.) Schott,ARACEAE,"Arvi, Ghuiya",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003215&column=szBarcode,"""UNKNOWN USE"""
Combretum nanum  Buch.-Ham. ex D.Don,COMBRETACEAE,Bhuidaudi (Local name),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013717&column=szBarcode,"""UNKNOWN USE"""
Combretum pilosum  Roxb.,COMBRETACEAE,"Bhoree loth, Thoonia loth",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013718&column=szBarcode,"""UNKNOWN USE"""
Combretum roxburghii  Spreng.,COMBRETACEAE,Punk,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013720&column=szBarcode,"""UNKNOWN USE"""
Commelina benghalensis  L.,COMMELINACEAE,Kanchara,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003064&column=szBarcode,"""UNKNOWN USE"""
Commelina longifolia  Lam.,COMMELINACEAE,Jalpipari,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003066&column=szBarcode,"""UNKNOWN USE"""
Commelina paludosa  Blume,COMMELINACEAE,Patugia (Local name),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003068&column=szBarcode,"""UNKNOWN USE"""
Conium maculatum  L.,APIACEAE,Poison Hemlock (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013752&column=szBarcode,"""UNKNOWN USE"""
Connarus monocarpus  L.,CONNARACEAE,Sunder (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003559&column=szBarcode,"""UNKNOWN USE"""
Consolida ambigua  (L.) Ball. & Heywood,RANUNCULACEAE,Rocket Larkspur (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009944&column=szBarcode,"""UNKNOWN USE"""
Convolvulus arvensis  L.,CONVOLVULACEAE,"Beri, Haranpadi",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009698&column=szBarcode,"""UNKNOWN USE"""
Convolvulus auricomus  (A.Rich.) Bhandari,CONVOLVULACEAE,Runchhaliveldi (Guj.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009697&column=szBarcode,"""UNKNOWN USE"""
Convolvulus microphyllus  Sieb.ex Spreng.,CONVOLVULACEAE,"Shankhapushpi, Dodak (Punjab)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009699&column=szBarcode,"""UNKNOWN USE"""
Coptis teeta  Wall.,RANUNCULACEAE,"Mamira, Mamiran",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009947&column=szBarcode,"""UNKNOWN USE"""
Corchorus aestuans  L.,TILIACEAE,Titapat (Beng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003839&column=szBarcode,"""UNKNOWN USE"""
Corchorus capsularis  L.,TILIACEAE,Narcha,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003841&column=szBarcode,"""UNKNOWN USE"""
Corchorus depressus  (L.) Stocks,TILIACEAE,Baphuli,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003838&column=szBarcode,"""UNKNOWN USE"""
Corchorus fascicularis  L.,TILIACEAE,Bhirupatrika (Sans.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003836&column=szBarcode,"""UNKNOWN USE"""
Corchorus olitorius  L.,TILIACEAE,Mithapat (Beng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003840&column=szBarcode,"""UNKNOWN USE"""
Corchorus trilocularis  L.,TILIACEAE,Kadu-chinch (Local name),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003837&column=szBarcode,"""UNKNOWN USE"""
