chembl_id,pref_name,synonyms,smiles,inchi,inchi_key,molecular_formula,molecular_weight,alogp,logd,hba,hbd,psa,rtb,ro5_violations,aromatic_rings,heavy_atoms,qed_weighted,cx_logp,cx_logd,molecular_species,natural_product,prodrug,polymer_flag,molecule_type,max_phase,first_approval,oral_bioavailability,indication_class,therapeutic_areas,parent_molecule_chembl_id,structure_type,chirality,black_box_warning
CHEMBL269264,,,Cn1cc(C2=C(c3cn(CCCN)c4ccccc34)C(=O)NC2=O)c2ccccc21,"InChI=1S/C24H22N4O2/c1-27-13-17(15-7-2-4-9-19(15)27)21-22(24(30)26-23(21)29)18-14-28(12-6-11-25)20-10-5-3-8-16(18)20/h2-5,7-10,13-14H,6,11-12,25H2,1H3,(H,26,29,30)",UQHKJRCFSLMWIA-UHFFFAOYSA-N,C24H22N4O2,398.47,3.05,,5,2,82.05,5,0,4,30,0.51,,,,1,-1,0,Small molecule,,,False,,,CHEMBL269264,MOL,,False
CHEMBL267230,,,C[N+]1([O-])CC=C(c2ccccc2)CC1,"InChI=1S/C12H15NO/c1-13(14)9-7-12(8-10-13)11-5-3-2-4-6-11/h2-7H,8-10H2,1H3",FZVSMNOAJGWONA-UHFFFAOYSA-N,C12H15NO,189.26,2.42,,1,0,23.06,1,0,1,14,0.49,,,,1,-1,0,Small molecule,,,False,,,CHEMBL267230,MOL,,False
CHEMBL440084,SB-431542,,NC(=O)c1ccc(-c2nc(-c3ccccn3)c(-c3ccc4c(c3)OCO4)[nH]2)cc1,"InChI=1S/C22H16N4O3/c23-21(27)13-4-6-14(7-5-13)22-25-19(20(26-22)16-3-1-2-10-24-16)15-8-9-17-18(11-15)29-12-28-17/h1-11H,12H2,(H2,23,27)(H,25,26)",FHYUGAJXYORMHI-UHFFFAOYSA-N,C22H16N4O3,384.40,3.63,,5,2,103.12,4,0,4,29,0.56,,,,1,-1,0,Small molecule,,,False,,,CHEMBL440084,MOL,,False
CHEMBL269538,HARMINE,Harmine; Harmine,COc1ccc2c(c1)[nH]c1c(C)nccc12,"InChI=1S/C13H12N2O/c1-8-13-11(5-6-14-8)10-4-3-9(16-2)7-12(10)15-13/h3-7,15H,1-2H3",BXNJHAXVSOCGBA-UHFFFAOYSA-N,C13H12N2O,212.25,3.03,,2,1,37.91,1,0,3,16,0.67,,,,1,0,0,Small molecule,1.0,,False,diabetes mellitus,Diabetes Mellitus,CHEMBL269538,MOL,,False
CHEMBL6310,,,COc1ccc2c3c([nH]c2c1)CNCC3,"InChI=1S/C12H14N2O/c1-15-8-2-3-9-10-4-5-13-7-12(10)14-11(9)6-8/h2-3,6,13-14H,4-5,7H2,1H3",SCIRNASYBOGBOO-UHFFFAOYSA-N,C12H14N2O,202.26,1.82,,2,2,37.05,1,0,2,15,0.74,,,,1,-1,0,Small molecule,,,False,,,CHEMBL6310,MOL,,False
CHEMBL269236,TRYPTOLINE,,c1ccc2c3c([nH]c2c1)CNCC3,"InChI=1S/C11H12N2/c1-2-4-10-8(3-1)9-5-6-12-7-11(9)13-10/h1-4,12-13H,5-7H2",CFTOTSJVQRFXOF-UHFFFAOYSA-N,C11H12N2,172.23,1.81,,1,2,27.82,0,0,2,13,0.62,,,,1,-1,0,Small molecule,,,False,,,CHEMBL269236,MOL,,False
CHEMBL6386,,,C[C@]12CCC3c4ccc(O)cc4CCC3C1CC[C@@H]2O,"InChI=1S/C18H24O2/c1-18-9-8-14-13-5-3-12(19)10-11(13)2-4-15(14)16(18)6-7-17(18)20/h3,5,10,14-17,19-20H,2,4,6-9H2,1H3/t14?,15?,16?,17-,18-/m0/s1",VOXZDWNPVJITMN-PAOLREHBSA-N,C18H24O2,272.39,3.61,,2,2,40.46,0,0,1,20,0.76,,,,1,-1,0,Small molecule,,,False,,,CHEMBL6386,MOL,,False
CHEMBL269074,,,c1ccc2c3c([nH]c2c1)CCNC3,"InChI=1S/C11H12N2/c1-2-4-10-8(3-1)9-7-12-6-5-11(9)13-10/h1-4,12-13H,5-7H2",RPROHCOBMVQVIV-UHFFFAOYSA-N,C11H12N2,172.23,1.81,,1,2,27.82,0,0,2,13,0.62,,,,1,-1,0,Small molecule,,,False,,,CHEMBL269074,MOL,,False
CHEMBL441173,,,CC1OC(OC2CCC3(C)C(CCC4C3CCC3(C)[C@@H](C5=CC(=O)OC5)C(OC=O)CC43O)C2)CC(O)C1O,"InChI=1S/C30H44O9/c1-16-27(34)22(32)12-25(38-16)39-19-6-8-28(2)18(11-19)4-5-21-20(28)7-9-29(3)26(17-10-24(33)36-14-17)23(37-15-31)13-30(21,29)35/h10,15-16,18-23,25-27,32,34-35H,4-9,11-14H2,1-3H3/t16?,18?,19?,20?,21?,22?,23?,25?,26-,27?,28?,29?,30?/m0/s1",IOXIBFLACIBMNF-BPQZMAMGSA-N,C30H44O9,548.67,2.64,,9,3,131.75,5,1,0,39,0.27,,,,1,-1,0,Small molecule,,,False,,,CHEMBL441173,MOL,,False
CHEMBL6509,,,NCc1c[nH]c2ccccc12,"InChI=1S/C9H10N2/c10-5-7-6-11-9-4-2-1-3-8(7)9/h1-4,6,11H,5,10H2",JXYGLMATGAAIBU-UHFFFAOYSA-N,C9H10N2,146.19,1.63,,1,2,41.81,1,0,2,11,0.63,,,,1,-1,0,Small molecule,,,False,,,CHEMBL6509,MOL,,False
CHEMBL6616,,,COc1cc(CC(C)N)c(OC)cc1I,"InChI=1S/C11H16INO2/c1-7(13)4-8-5-11(15-3)9(12)6-10(8)14-2/h5-7H,4,13H2,1-3H3",BGMZUEKZENQUJY-UHFFFAOYSA-N,C11H16INO2,321.16,2.20,,3,1,44.48,4,0,1,15,0.86,,,,1,-1,0,Small molecule,,,False,,,CHEMBL6616,MOL,,False
CHEMBL6640,TRYPTAMINE,,NCCc1c[nH]c2ccccc12,"InChI=1S/C10H12N2/c11-6-5-8-7-12-10-4-2-1-3-9(8)10/h1-4,7,12H,5-6,11H2",APJYDQYYACXCRM-UHFFFAOYSA-N,C10H12N2,160.22,1.67,,1,2,41.81,2,0,2,12,0.69,,,,1,-1,0,Small molecule,,,False,,,CHEMBL6640,MOL,,False
CHEMBL266084,,,COc1ccc2[nH]c3c(c2c1)CCNC3,"InChI=1S/C12H14N2O/c1-15-8-2-3-11-10(6-8)9-4-5-13-7-12(9)14-11/h2-3,6,13-14H,4-5,7H2,1H3",QYMDEOQLJUUNOF-UHFFFAOYSA-N,C12H14N2O,202.26,1.82,,2,2,37.05,1,0,2,15,0.74,,,,1,-1,0,Small molecule,,,False,,,CHEMBL266084,MOL,,False
