drug_chembl_id,drug_name,substrate_chembl_id,substrate_name,metabolite_chembl_id,metabolite_name,enzyme_name,enzyme_tid,organism,pathway_id,pathway_key,met_conversion,met_comment,references
CHEMBL479,PRAZOSIN,CHEMBL479,THIORIDAZINE,CHEMBL3544852,THIORIDAZINE-5-SULFOXIDE,CYP1A2,CHEMBL3356,,1,,S-oxidation at the 5 position,"""Organ: Liver|Comment: no psychoactive properties but is possibly responsible for cardiac side-effects associated with thioridazine therapy. Found at significant plasma concentrations level, exceeding that of the drug.""",0443051488; 16272405
CHEMBL479,PRAZOSIN,CHEMBL479,THIORIDAZINE,CHEMBL3544852,THIORIDAZINE-5-SULFOXIDE,CYP2D6,CHEMBL289,,1,,S-oxidation at the 5 position,"""Organ: Liver|Comment: no psychoactive properties but is possibly responsible for cardiac side-effects associated with thioridazine therapy. Found at significant plasma concentrations level, exceeding that of the drug.""",0443051488; 16272405
CHEMBL479,PRAZOSIN,CHEMBL3544852,THIORIDAZINE-5-SULFOXIDE,CHEMBL3544900,THIORIDAZINE-5-SULFONE,,,,1,,"""a second S-oxidation at the 5 position, forming a sulfone""",Organ: Liver,0443051488
CHEMBL479,PRAZOSIN,CHEMBL1088,THIORIDAZINE-2-SULFOXIDE,CHEMBL2107268,THIORIDAZINE-2-SULFONE,CYP2D6,CHEMBL289,,1,,"""a second S-oxidation at the 2 position, forming a sulfone""","""Organ: Liver|Comment: Active, 50% more potent than the parent drug thus contributing to the antipsychotic effect of the drug, also found at significant plasma level concentrations that exceed that of the parent drug.""",9c4bedb4-2d59-4fcd-aad7-fce988cd96d8; 0443051488; 16272405
CHEMBL1200879,PRAZOSIN,CHEMBL3638312,(S)-7-HYDROXYWARFARIN,CHEMBL3638313,(S)-7-O-WARFARIN GLUCURONIDE,UGT1A10,CHEMBL1743320,,1,,Glucuronide conjugation at the 7 hydroxyl forming an ether.,Organ: Liver|Comment: A complex mechanism. glucuronidation is beginning to be recognised as an important pathway in warfarin metabolism and elimination. Glucuronide conjugation prefers the R enantiomer more.,19408964
CHEMBL1200879,PRAZOSIN,CHEMBL3638312,(S)-7-HYDROXYWARFARIN,CHEMBL3638313,(S)-7-O-WARFARIN GLUCURONIDE,UGT1A9,CHEMBL1743319,,1,,Glucuronide conjugation at the 7 hydroxyl forming an ether.,Organ: Liver|Comment: A complex mechanism. glucuronidation is beginning to be recognised as an important pathway in warfarin metabolism and elimination. Glucuronide conjugation prefers the R enantiomer more.,19408964
CHEMBL1200879,PRAZOSIN,CHEMBL3638312,(S)-7-HYDROXYWARFARIN,CHEMBL3638313,(S)-7-O-WARFARIN GLUCURONIDE,UGT1A8,CHEMBL1743318,,1,,Glucuronide conjugation at the 7 hydroxyl forming an ether.,Organ: Liver|Comment: A complex mechanism. glucuronidation is beginning to be recognised as an important pathway in warfarin metabolism and elimination. Glucuronide conjugation prefers the R enantiomer more.,19408964
CHEMBL1200879,PRAZOSIN,CHEMBL3638312,(S)-7-HYDROXYWARFARIN,CHEMBL3638313,(S)-7-O-WARFARIN GLUCURONIDE,UGT1A3,CHEMBL3542435,,1,,Glucuronide conjugation at the 7 hydroxyl forming an ether.,Organ: Liver|Comment: A complex mechanism. glucuronidation is beginning to be recognised as an important pathway in warfarin metabolism and elimination. Glucuronide conjugation prefers the R enantiomer more.,19408964
CHEMBL1200879,PRAZOSIN,CHEMBL3638312,(S)-7-HYDROXYWARFARIN,CHEMBL3638313,(S)-7-O-WARFARIN GLUCURONIDE,UGT1A1,CHEMBL1287617,,1,,Glucuronide conjugation at the 7 hydroxyl forming an ether.,Organ: Liver|Comment: A complex mechanism. glucuronidation is beginning to be recognised as an important pathway in warfarin metabolism and elimination. Glucuronide conjugation prefers the R enantiomer more.,19408964
CHEMBL1200879,PRAZOSIN,CHEMBL1464,WARFARIN,CHEMBL3638314,(S)-6-HYDROXYWARFARIN,CYP2C9,CHEMBL3397,,1,,Hydroxylation at the 6 position,Organ: Liver|Comment: Produced by CYP2C9 with less efficiency than the 7-hydroxyl emtabolite. Hydroxyl metabolites are inactive. Can undergo subsequent glucuronide conjugation (it is primarily excreted as a glucuronide). A minor route of metabolism for the S-enantiomer.,label/2011/009218s107lbl.pdf; 9780071624428; 19408964; 9014207
CHEMBL898,PRAZOSIN,CHEMBL898,DIFLUNISAL,CHEMBL3638309,ESTER GLUCURONIDE COJUGATE METABOLITE,UGT2B7,CHEMBL4370,,1,,Glucuronide conjugation at the carboxylic acid forming an ester,Organ: Liver|Comment: Found in urine.,label/2007/018445s058lbl.pdf; 0443051488; 17200831
CHEMBL1200561,PRAZOSIN,CHEMBL707,DOXAZOSIN,CHEMBL3544666,7'-HYDROXYDOXAZOSIN,Cytochrome P450s,,,1,,Hydroxylation of the benzedioxan motif at the 7' position,Organ: Liver|Comment: A major metabolite. Has antioxidant properties: unlike the parent it inhibits Cu2+ mediated oxidative modification of LDL,label/2013/019668s026lbl.pdf; 0443051488; 9780071624428
CHEMBL1200561,PRAZOSIN,CHEMBL707,DOXAZOSIN,CHEMBL3544683,7-DESMETHYLDOXAZOSIN,Cytochrome P450s,,,1,,O-demthylation  of the quinazoline at the 7 position,Organ: Liver|Comment: A major metabolite and a predominant route of metabolism.,label/2013/019668s026lbl.pdf; 0443051488; 9780071624428
CHEMBL1200561,PRAZOSIN,CHEMBL707,DOXAZOSIN,CHEMBL3249225,2-AMINO METABOLITE,Cytochrome P450s,,,1,,N-dealkylation,Organ: Liver|Comment: A minor metabolite.,0443051488; 9780071624428
CHEMBL691,PRAZOSIN,CHEMBL691,ETHINYL ESTRADIOL,CHEMBL3544698,2-HYDROXY ETHINYL ESTRADIOL,CYP1A2,CHEMBL3356,,1,,Hydroxylation at the 2 position,"""Organ: Intestines|Comment: The predominant metabolite, the major pathway of metabolism, has a small amount of estrogenic activity. Can undergo subsequent metabolism including conjugation with glucuronides and sulfates""",label/2010/022501s000lbl.pdf; 0443051488; 15304426; 23375353
CHEMBL691,PRAZOSIN,CHEMBL691,ETHINYL ESTRADIOL,CHEMBL3544698,2-HYDROXY ETHINYL ESTRADIOL,CYP2C19,CHEMBL3622,,1,,Hydroxylation at the 2 position,"""Organ: Intestines|Comment: The predominant metabolite, the major pathway of metabolism, has a small amount of estrogenic activity. Can undergo subsequent metabolism including conjugation with glucuronides and sulfates""",label/2010/022501s000lbl.pdf; 0443051488; 15304426; 23375353
CHEMBL691,PRAZOSIN,CHEMBL691,ETHINYL ESTRADIOL,CHEMBL3544698,2-HYDROXY ETHINYL ESTRADIOL,CYP2C8,CHEMBL3721,,1,,Hydroxylation at the 2 position,"""Organ: Intestines|Comment: The predominant metabolite, the major pathway of metabolism, has a small amount of estrogenic activity. Can undergo subsequent metabolism including conjugation with glucuronides and sulfates""",label/2010/022501s000lbl.pdf; 0443051488; 15304426; 23375353
CHEMBL691,PRAZOSIN,CHEMBL691,ETHINYL ESTRADIOL,CHEMBL3544698,2-HYDROXY ETHINYL ESTRADIOL,CYP2C9,CHEMBL3397,,1,,Hydroxylation at the 2 position,"""Organ: Intestines|Comment: The predominant metabolite, the major pathway of metabolism, has a small amount of estrogenic activity. Can undergo subsequent metabolism including conjugation with glucuronides and sulfates""",label/2010/022501s000lbl.pdf; 0443051488; 15304426; 23375353
CHEMBL691,PRAZOSIN,CHEMBL691,ETHINYL ESTRADIOL,CHEMBL3544698,2-HYDROXY ETHINYL ESTRADIOL,CYP3A4,CHEMBL340,,1,,Hydroxylation at the 2 position,"""Organ: Intestines|Comment: The predominant metabolite, the major pathway of metabolism, has a small amount of estrogenic activity. Can undergo subsequent metabolism including conjugation with glucuronides and sulfates""",label/2010/022501s000lbl.pdf; 0443051488; 15304426; 23375353
CHEMBL691,PRAZOSIN,CHEMBL3544698,2-HYDROXY ETHINYL ESTRADIOL,CHEMBL1627649,2-METHOXY ETHINYL ESTRADIOL,,,,1,,Methylation of the hydroxyl at the 2 position,Organ: Intestines|Comment: Part of the major route of metabolism.,0443051488
CHEMBL691,PRAZOSIN,CHEMBL3544698,2-HYDROXY ETHINYL ESTRADIOL,CHEMBL3544577,2-HYDROXYESTRADIOL-3-METHYL ETHER,,,,1,,Methylation of the hydroxyl at the 3 position,Organ: Intestines|Comment: Part of the major route of metabolism.,0443051488
CHEMBL691,PRAZOSIN,CHEMBL691,ETHINYL ESTRADIOL,CHEMBL1627959,6 ALPHA-HYDROXYL ETHINYL ESTRADIOL,CYP3A4,CHEMBL340,,1,,Hydroxylation at the 6 alpha position,"""Organ: Intestines|Comment: A minor metabolite, only a small contribution to the overall metabolism of the parent drug. Has a small amount of estrogenic activity. Can undergo conjugation with glucuronides and sulfates""",0443051488; 15304426; 23375353
CHEMBL691,PRAZOSIN,CHEMBL691,ETHINYL ESTRADIOL,CHEMBL3544578,16 BETA-HYDROXYL ETHINYL ESTRADIOL,CYP3A4,CHEMBL340,,1,,Hydroxylation at the 16 beta position,"""Organ: Intestines|Comment: A minor metabolite, only a small contribution to the overall metabolism of the parent drug. Has a small amount of estrogenic activity. Can undergo conjugation with glucuronides and sulfates""",0443051488; 15304426; 23375353
CHEMBL691,PRAZOSIN,CHEMBL691,ETHINYL ESTRADIOL,CHEMBL3544579,4-HYDROXYL ETHINYL ESTRADIOL,CYP3A4,CHEMBL340,,1,,Hydroxylation at the 4 position,"""Organ: Intestines|Comment: A minor metabolite, only a small contribution to the overall metabolism of the parent drug. Has a small amount of estrogenic activity. Can undergo conjugation with glucuronides and sulfates""",15304426; 23375353
CHEMBL691,PRAZOSIN,CHEMBL691,ETHINYL ESTRADIOL,CHEMBL3544597,ETHINYL ESTRADIOL-3-O-GLUCURONIDE,UGT1A1,CHEMBL1287617,,1,,glucuronide conjugation at the 13 hydroxyl forming an ether,Organ: Intestines|Comment: Glucuronides are the main urinary conjugates. Inactive.,label/2010/022501s000lbl.pdf; 0443051488; 15304426; 23375353
CHEMBL691,PRAZOSIN,CHEMBL691,ETHINYL ESTRADIOL,CHEMBL3544892,ETHINYL ESTRADIOL-17-O-GLUCURONIDE,,,,1,,glucuronide conjugation at the 17 hydroxyl forming an ether,Organ: Intestines|Comment: Glucuronides are the main urinary conjugates. Inactive.,label/2010/022501s000lbl.pdf; 0443051488; 23375353
CHEMBL691,PRAZOSIN,CHEMBL691,ETHINYL ESTRADIOL,CHEMBL1614647,ETHINYL ESTRADIOL-17-O-SULFATE,,,,1,,Sulfate conjugation at the hydroxyl at position 17,Organ: Intestines|Comment: Sulfates are the major circulating conjugates,label/2010/022501s000lbl.pdf; 0443051488; 23375353
CHEMBL902,PRAZOSIN,CHEMBL902,FAMOTIDINE,CHEMBL901,FAMOTIDINE SULFOXIDE METABOLITE,,,,1,,Oxidation of the S atom in the aliphatic side chain,Organ: Unknown|Comment: The only metabolite identified in man,label/2004/21712lbl.pdf; 0443051488
CHEMBL1308,PRAZOSIN,CHEMBL3276272,4-HYDROXYMETHYLPYRAZOLE,CHEMBL3544509,4-HYDROXYMETHYLPYRAZOLE N-GLUCURONIDE METABOLITE,,,,1,,N-glucuronide conjugation at the 1 position,Organ: Liver,c045b5a8-b220-4f0a-a831-155b29c19454; 22554311
CHEMBL1200863,PRAZOSIN,CHEMBL852,MELPHALAN,CHEMBL3544511,MONOHYDROXYMELPHALAN,,,,1,,"""Spontaneous hydrolysis, replacing terminal chlorine atoms with hydroxyls""",Organ: Unknown|Comment: Possibly only produced in vitro. No apparent cytotoxicity,label/2011/014691s029lbl.pdf; 0443051488
CHEMBL1201119,PRAZOSIN,CHEMBL1544,LIOTHYRONINE,CHEMBL1236469,DI-IODOTYROSINE,Peroxidases,,,1,,Ether link cleavage,"""Organ: Liver, but probably occurs more predominantly in other tissues""",0443051488; 16131336
CHEMBL1201119,PRAZOSIN,CHEMBL1236469,DI-IODOTYROSINE,CHEMBL479789,MONO-IODOTYROSINE,Deiodinase,CHEMBL3542431,,1,,Deiodination,"""Organ: Unknown|Comment: Deiodination is the major route of metabolism. STUDIES SUGGEST THAT THE METABOLIC REACTIONS CAN FOLLOW AFTER EACH OTHER, POTENTIALLY MORE METABOLITES""",0443051488
CHEMBL1201119,PRAZOSIN,CHEMBL1544,LIOTHYRONINE,CHEMBL3544530,GLUCURONIDE CONJUGATE METABOITE,UGT,CHEMBL3430867,,1,,conjugation of glucuronic acid to the phenolic hydroxyl.,"""Organ: Liver|Comment: Parent drug is largely metabolised via conjugation. STUDIES SUGGEST THAT THE METABOLIC REACTIONS CAN FOLLOW AFTER EACH OTHER, POTENTIALLY MORE METABOLITES""",0443051488; 16131336
CHEMBL1201119,PRAZOSIN,CHEMBL1544,LIOTHYRONINE,CHEMBL3544552,DEAMINATION METABOLITE,,,,1,,Removal of amine forming  the corresponding keto acid,"""Organ: Liver|Comment: A significant route of metabolism contributing a large amount to the overall metabolism of the parent drug. STUDIES SUGGEST THAT THE METABOLIC REACTIONS CAN FOLLOW AFTER EACH OTHER, POTENTIALLY MORE METABOLITES""",0443051488; 16131336
CHEMBL1201119,PRAZOSIN,CHEMBL1544,LIOTHYRONINE,CHEMBL3544553,DECARBOXYLATION METABOLITE,,,,1,,Decarboxylation,"""Organ: Liver|Comment: A significant route of metabolism contributing a large amount to the overall metabolism of the parent drug. STUDIES SUGGEST THAT THE METABOLIC REACTIONS CAN FOLLOW AFTER EACH OTHER, POTENTIALLY MORE METABOLITES""",0443051488; 16131336
CHEMBL1201141,PRAZOSIN,CHEMBL521,IBUPROFEN,CHEMBL3544649,3-HYDROXYIBUPROFEN,CYP2C9,CHEMBL3397,,1,,Hydroxylation at the C3 atom,Organ: Liver|Comment: The major route of metabolism. Can undergo subsequent glucuronidation. Stereoselectivity towards the S enantiomer.,10.1016/S0006-2952(97)00143-3; label/2013/021903s008lbl.pdf
CHEMBL1201141,PRAZOSIN,CHEMBL3544649,3-HYDROXYIBUPROFEN,CHEMBL3544650,3-CARBOXYIBUPROFEN,Cystolic dehydrogenase,,,1,,Oxidation of the hydroxyl at C3 to a carboxylic acid group,Organ: Liver|Comment: Can undergo subsequent glucuronidation. Stereoselectivity towards the S enantiomer. Regioselectivity to carboxylation at the 3 position.,10.1016/S0006-2952(97)00143-3; 0443051488
CHEMBL571,PRAZOSIN,CHEMBL571,KETOPROFEN,CHEMBL3544742,HYDROXYL METABOLITE,,,,1,,Aromatic hydroxylation,Organ: Unknown|Comment: Minor metabolic pathway. Inactive.,0443051488; 3242582
CHEMBL571,PRAZOSIN,CHEMBL3544742,HYDROXYL METABOLITE,CHEMBL3544743,METHYL ESTER METABOLITES,,,,1,,Esterification at the hydroxyls to form methyl esters,Organ: Unknown|Comment: Minor metabolic pathway. Inactive.,3242582
CHEMBL503,PRAZOSIN,CHEMBL1201373,BETA HYDROXY ACID OF LOVASTATIN,CHEMBL3544667,6' BETA-HYDROXY LOVASTATIN (ACID FORM),CYP3A4,CHEMBL340,,1,,Hydroxylation at the 6' - beta position of the beta hydroxyl,"""Organ: Liver and intestines|Comment: Is in equilibrium with its lactone form, in this acid form it has inhibitory properties towards HMG-CoA reductase (50-60% potency of lovastatin acid). This metabolite can be attained via a different route of metabolism: hydroxylation of the lactone form of lovastatin followed by hydrolysis to the active hydroxyl form. MORE METABOLITES BUT THEY ARE UNIDENTIFIED""",label/2014/021316s031lbl.pdf; 0443051488; 1929403; 22281720
CHEMBL503,PRAZOSIN,CHEMBL3544668,6' BETA-HYDROXY LOVASTATIN (LACTONE FORM),CHEMBL3544667,6' BETA-HYDROXY LOVASTATIN (ACID FORM),,,,1,,Ring-opening hydrolysis of lactone producing a carboxylic acid and hydroxyl,"""Organ: Liver and intestines|Comment: Is in equilibrium with its lactone form, in this acid form it has inhibitory properties towards HMG-CoA reductase (50-60% potency of lovastatin acid). This metabolite can be attained via a different route of metabolism: hydroxylation of the acid from. MORE METABOLITES BUT THEY ARE UNIDENTIFIED""",label/2014/021316s031lbl.pdf; 0443051488; 1929403; 22281720
CHEMBL503,PRAZOSIN,CHEMBL3544669,6'-EXOMETHYLENE LOVASTATIN (LACTONE FORM),CHEMBL3544684,6'-EXOMETHYLENE LOVASTATIN (ACID FORM),,,,1,,Ring-opening hydrolysis of lactone producing a carboxylic acid and hydroxyl,"""Organ: Liver and intestines|Comment: Is in equilibrium with its lactone form, inhibits HMG-CoA reductase with 50-60% of the beta-hydroxyl acid of lovastatin. This metabolite can be made through a different route similar to that of 6-beta-hydroxyl lovastatin acid but it has not been explicitly stated in the sources so the route will be omitted. MORE METABOLITES BUT THEY ARE UNIDENTIFIED""",0443051488; 1929403
CHEMBL503,PRAZOSIN,CHEMBL503,LOVASTATIN,CHEMBL3544685,3''-HYDROXY LOVASTATIN (LACTONE FORM),CYP3A4,CHEMBL340,,1,,"""Hydroxylation at the 3"""" position of the lactone""",Organ: Liver and intestines|Comment: Is in equilibrium with its lactone form. Becomes pharmacologically active when hydrolysed to its hydroxyl-acid form. Formed via a minor route of metabolism. MORE METABOLITES BUT THEY ARE UNIDENTIFIED,1929403; 22281720
CHEMBL1200337,PRAZOSIN,CHEMBL13,METOPROLOL,CHEMBL3544687,O-DESMETHYLMETOPROLOL,CYP2D6,CHEMBL289,,1,,O-demthylation of ether side-chain,"""Organ: Liver|Comment: Undergoes subsequent metabolism. Has some beta-blocking activity, but contribution to the drug's overall therapeutic beta-blocking activity is minimal. Found in urine""",label/2014/019962s044lbl.pdf; 0443051488; 9780071624428
CHEMBL1200337,PRAZOSIN,CHEMBL3544687,O-DESMETHYLMETOPROLOL,CHEMBL3544699,4-(2-HYDROXY-3-ISOPROPYLAMINOPROPOXY)PHENYLACETIC ACID,,,,1,,Elimination of part of the ether side chain and formation of carboxylic acid,"""Organ: Liver|Comment: Primary metabolite, found in the urine.""",0443051488
CHEMBL1200337,PRAZOSIN,CHEMBL13,METOPROLOL,CHEMBL3544700,2-HYDROXY-3-[4-(2-METHOXYETHYL)PHENOXY]PROPIONIC ACID,,,,1,,Oxidative deamination,Organ: Liver,0443051488
CHEMBL1200869,PRAZOSIN,CHEMBL137,METRONIDAZOLE,CHEMBL3544702,1-(2-HYDROXYETHYL)-2-HYDROXYMETHYL-5-NITROIMIDAZOLE,,,,1,,Hydroxylation,"""Organ: Liver|Comment: Primary metabolite, had antibacterial activity in vivo. Found in urine.""",label/2013/018353s026lbl.pdf; 0443051488; 9780071624428
CHEMBL1200869,PRAZOSIN,CHEMBL137,METRONIDAZOLE,CHEMBL3544703,1-ACETIC ACID-2-METHYL-5-NITROIMIDAZOLE,,,,1,,Carboxylation,Organ: Liver|Comment: Found in urine,label/2013/018353s026lbl.pdf; 0443051488
CHEMBL3,PRAZOSIN,CHEMBL3,NICOTINE,CHEMBL3544718,NICOTINE-N-OXIDE,flavin containing monooxygenase 3,CHEMBL3430864,,1,,Oxide formation at the pyrrole N atom,"""Organ: Liver primarily and then Kidneys and Lungs|Comment: A primary metabolite of nicotine, an important metabolic route. Can be reduced back to nicotine by bacterial flora in the gut which may lead to nicotine recycling. Its formation is stereoselective towards the trans isomer. No significant pharmacological activity.""",0443051488; 15734728
CHEMBL3,PRAZOSIN,CHEMBL3,NICOTINE,CHEMBL1190855,NICOTINE ISOMETHONIUM ION,amine N-methyl transferase,CHEMBL2131,,1,,N-methylation of the pyridine N atom,Organ: Liver primarily and then Kidneys and Lungs|Comment: A primary metabolite of nicotine. A non-oxidative route of metabolism. Possibly has some pharmacological activity.,0443051488; 15734728
CHEMBL3,PRAZOSIN,CHEMBL3126023,NICOTINE-DELTA 1'[5']-IMINIUM ION,CHEMBL578211,COTININE,Aldehyde Oxidase,CHEMBL3257,,1,,ketone formation at the 2' position of the pyrrole ring,"""Organ: Liver primarily and then Kidneys and Lungs|Comment: 70-80% of nicotine is metabolised via the cotinine pathway, most urinary metabolites of nicotine are derived from cotinine metabolism. No significant pharmacological activity.""",0443051488; 15734728; 22869927
CHEMBL3,PRAZOSIN,CHEMBL3,NICOTINE,CHEMBL6200,NORNICOTINE,Cytochrome P450s,,,1,,Oxidative demthylation of the pyrrole N-atom,Organ: Liver primarily and then Kidneys and Lungs|Comment: A primary metabolite of nicotine. Only a minor pathway of metabolism. Possibly produced via an iminium ion intermediate which would hydrolyse to nornicotine. No significant pharmacological activity,0443051488; 15734728
CHEMBL3,PRAZOSIN,CHEMBL6200,NORNICOTINE,CHEMBL3544719,NORCOTININE,,,,1,,ketone formation at the 2' position of the pyrrole ring (oxidative metabolism of nornicotine),Organ: Liver primarily and then Kidneys and Lungs|Comment: Can be produced via an alternative pathway. No significant pharmacological activity.,15734728
CHEMBL3,PRAZOSIN,CHEMBL3544720,2'-HYDROXYNICOTINE,CHEMBL3544721,4-(METHYLAMINO)-1-(3-PYRIDYL)-1-BUTANONE,,,,1,,Pyrrole ring opening,Organ: Liver primarily and then Kidneys and Lungs|Comment: Can be converted to carcinogenic NNK.,15734728
CHEMBL3,PRAZOSIN,CHEMBL3544721,4-(METHYLAMINO)-1-(3-PYRIDYL)-1-BUTANONE,CHEMBL3544790,4-OXO-4-(3-PYRIDYL)-BUTANOIC ACID,,,,1,,Deamination,Organ: Liver primarily and then Kidneys and Lungs|Comment: Makes up of 10-15% of nicotine dose in urine. Can be produced via several other pathways. No significant pharmacological activity,15734728
CHEMBL3,PRAZOSIN,CHEMBL578211,COTININE,CHEMBL3544791,COTININE METHONIUM ION,,,,1,,N-methylation of the pyridine ring,Organ: Liver primarily and then Kidneys and Lungs|Comment: A primary metabolite of cotinine. No significant pharmacological activity.,15734728
CHEMBL3,PRAZOSIN,CHEMBL578211,COTININE,CHEMBL3559662,COTININE GLUCURONIDE,,,,1,,N-glucuronide conjugation of the pyridine ring,Organ: Liver primarily and then Kidneys and Lungs|Comment: A primary metabolite of cotinine. No significant pharmacological activity.,15734728
CHEMBL3,PRAZOSIN,CHEMBL578211,COTININE,CHEMBL3544793,COTININE-N-OXIDE,Cytochrome P450s,,,1,,Oxide formation at the pyridine N atom,Organ: Liver primarily and then Kidneys and Lungs|Comment: A primary metabolite of cotinine. No significant pharmacological activity. Can be converted back to cotinine by bacterial gut flora.,15734728
CHEMBL3,PRAZOSIN,CHEMBL1614639,TRANS-3'-HYDROXYCOTININE,CHEMBL3544598,TRANS-3'-HYDROXYCOTININE GLUCURONIDE,,,,1,,O-glucuronide conjugation at the hydroxyl on the pyrrole ring.,Organ: Liver primarily and then Kidneys and Lungs|Comment: It makes up a large part of the nicotine dose in urine. No significant pharmacological activity,15734728
CHEMBL3,PRAZOSIN,CHEMBL578211,COTININE,CHEMBL3544599,5'-HYDROXYCOTININE,CYP2A6,CHEMBL5282,,1,,Hydroxylation at the 5' position of the pyrrole ring,"""Organ: Liver primarily and then Kidneys and Lungs|Comment: A primary metabolite of cotinine, is the precursor to a metabolic pathway responsible for the production of several nicotine metabolites. No significant pharmacological activity. Is in tautomeric equilibrium with 4-Oxa-4-(3-pyridyl)-N-methylbutanamide""",15734728
CHEMBL3,PRAZOSIN,CHEMBL3544599,5'-HYDROXYCOTININE,CHEMBL3544600,4-OXA-4-(3-PYRIDYL)-N-METHYLBUTANAMIDE,,,,1,,Pyrrole ring opening,Organ: Liver primarily and then Kidneys and Lungs|Comment: The precursor of several nicotine metabolites that drive form degradation of pyrrolidine ring. No significant pharmacological activity. In tautomeric equilibrium with 5'-hydroxycotinine.,15734728
CHEMBL3,PRAZOSIN,CHEMBL3544600,4-OXA-4-(3-PYRIDYL)-N-METHYLBUTANAMIDE,CHEMBL3544790,4-OXO-4-(3-PYRIDYL)-BUTANOIC ACID,,,,1,,Deamination,Organ: Liver primarily and then Kidneys and Lungs|Comment: Makes up of 10-15% of nicotine dose in urine. Can be produced via several other pathways. No significant pharmacological activity,15734728
CHEMBL3,PRAZOSIN,CHEMBL578211,COTININE,CHEMBL3544621,N'-HYDROXYMETHYL-NORNICOTINE,,,,1,,Hydroxylation of the methyl group of the pyrrole ring N atom,Organ: Liver primarily and then Kidneys and Lungs|Comment: Intermediate in the formation of Norcotinine,15734728
CHEMBL3,PRAZOSIN,CHEMBL3544621,N'-HYDROXYMETHYL-NORNICOTINE,CHEMBL3544719,NORCOTININE,,,,1,,Dealkylation of the Pyrrole ring N atom,Organ: Liver primarily and then Kidneys and Lungs|Comment: Can be produced via an alternative pathway. No significant pharmacological activity.,15734728
CHEMBL3,PRAZOSIN,CHEMBL3544719,NORCOTININE,CHEMBL3544622,4-OXA-4-(3-PYRIDYL)-BUTANAMIDE,,,,1,,Pyrrole ring opening,Organ: Liver primarily and then Kidneys and Lungs|Comment: No significant pharmacological activity,15734728
CHEMBL3,PRAZOSIN,CHEMBL3544622,4-OXA-4-(3-PYRIDYL)-BUTANAMIDE,CHEMBL3544790,4-OXO-4-(3-PYRIDYL)-BUTANOIC ACID,,,,1,,Deamination,Organ: Liver primarily and then Kidneys and Lungs|Comment: Makes up of 10-15% of nicotine dose in urine. Can be produced via several other pathways. No significant pharmacological activity,15734728
CHEMBL3,PRAZOSIN,CHEMBL3544790,4-OXO-4-(3-PYRIDYL)-BUTANOIC ACID,CHEMBL3544623,4-HYDROXY-4-(3-PYRIDYL)-BUTANOIC ACID,,,,1,,Reduction of ketone to a hydroxyl group,Organ: Liver primarily and then Kidneys and Lungs|Comment: In equilibrium with 5-(3-pyridyl)-tetrahydrofuran-2-one. No significant pharmacological activity,15734728
CHEMBL3,PRAZOSIN,CHEMBL3544623,4-HYDROXY-4-(3-PYRIDYL)-BUTANOIC ACID,CHEMBL3544624,5-(3-PYRIDYL)-TETRAHYDROFURAN-2-ONE,,,,1,,Tetrahydrofuran ring formation,Organ: Liver primarily and then Kidneys and Lungs|Comment: In equilibrium with 4-hydroxy-4-(3-pyridyl)-butanoic acid. No significant pharmacological activity.,15734728
CHEMBL3,PRAZOSIN,CHEMBL3544623,4-HYDROXY-4-(3-PYRIDYL)-BUTANOIC ACID,CHEMBL3544625,4-(3-PYRIDYL)-3-BUTENOIC ACID,,,,1,,Dehydroxylation leading to alkene formation,Organ: Liver primarily and then Kidneys and Lungs|Comment: No significant pharmacological activity,15734728
CHEMBL3,PRAZOSIN,CHEMBL3544625,4-(3-PYRIDYL)-3-BUTENOIC ACID,CHEMBL3544626,4-(3-PYRIDYL)-BUTANOIC ACID,,,,1,,Saturation of pyrrole ring,Organ: Liver primarily and then Kidneys and Lungs,15734728
CHEMBL3,PRAZOSIN,CHEMBL3544626,4-(3-PYRIDYL)-BUTANOIC ACID,CHEMBL1741437,3-PYRIDYLACETIC ACID,,,,1,,Decarboxylation shortening the alkyl chain followed by carboxylation,Organ: Liver primarily and then Kidneys and Lungs|Comment: The terminal metabolite,0443051488; 15734728
CHEMBL1200477,PRAZOSIN,CHEMBL1467,ALLOPURINOL,CHEMBL859,OXYPURINOL,Xanthine Oxidase which is converted from Xanthine Dehydrogenase,CHEMBL1929,,1,,Oxidation at position 6,"""Organ: Liver and intestine|Comment: Primary metabolite and predominant route of metabolism. Active, inhibits Xanthine Oxidase but is not as potent as the parent drug""",682dd8b8-fc6e-47c5-95b7-82d7ad96b750; 0443051488; 9780071624428
CHEMBL1200477,PRAZOSIN,CHEMBL1467,ALLOPURINOL,CHEMBL3544648,ALLOPURINOL-1-RIBOSIDE,Purine nucleoside phosphorylase,CHEMBL4338,,1,,Conjugation of ribose sugar to N1,"""Organ: Liver, intestines ad plasma|Comment: This metabolic reaction is an equilibrium. This metabolite can be produced via a different metabolic pathway depending on which tissue it occurs in or if it occurs in plasma.""",0443051488
CHEMBL1200477,PRAZOSIN,CHEMBL1467,ALLOPURINOL,CHEMBL3544849,ALLOPURINOL-1-RIBONUCLEOTIDE,HGPRT,CHEMBL2360,,1,,Conjugation of a ribose 5-phosphate to N1,"""Organ: Liver, intestines ad plasma|Comment: Part of the alternative metabolic pathway to Allopurinol-1-riboside.""",0443051488
