drug_chembl_id,drug_name,substrate_chembl_id,substrate_name,metabolite_chembl_id,metabolite_name,enzyme_name,enzyme_tid,organism,pathway_id,pathway_key,met_conversion,met_comment,references
CHEMBL1639,PRAZOSIN,CHEMBL3507697,Metabolite M2,CHEMBL3507701,Metabolite M4,,,Homo sapiens,3,"Fig. 9, p164/165",,,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2007/021985s000_ClinPharmR_P2.pdf; http://www.accessdata.fda.gov/drugsatfda_docs/nda/2007/021985s000_ClinPharmR_P3.pdf
CHEMBL1639,PRAZOSIN,CHEMBL3507700,Metabolite M3,CHEMBL3507701,Metabolite M4,,,Homo sapiens,3,"Fig. 9, p164/165",,,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2007/021985s000_ClinPharmR_P2.pdf; http://www.accessdata.fda.gov/drugsatfda_docs/nda/2007/021985s000_ClinPharmR_P3.pdf
CHEMBL1639,PRAZOSIN,CHEMBL1639,"""Aliskiren, SPP100""",CHEMBL3507704,Metabolite M9,,,Callithrix jacchus,2,"Fig. 2.1.4.1, p.46",Cyclization of the carboxylic acid intermediate,,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2007/021985s000_PharmR_P2.pdf
CHEMBL1639,PRAZOSIN,CHEMBL1639,"""Aliskiren, SPP100""",CHEMBL3507704,Metabolite M9,,,Homo sapiens,3,"Fig. 9, p164/165",,,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2007/021985s000_ClinPharmR_P2.pdf; http://www.accessdata.fda.gov/drugsatfda_docs/nda/2007/021985s000_ClinPharmR_P3.pdf
CHEMBL1639,PRAZOSIN,CHEMBL1639,"""Aliskiren, SPP100""",CHEMBL3507703,Metabolite M12 (ATG045),,,Homo sapiens,3,"Fig. 9, p164/165",,,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2007/021985s000_ClinPharmR_P2.pdf; http://www.accessdata.fda.gov/drugsatfda_docs/nda/2007/021985s000_ClinPharmR_P3.pdf
CHEMBL1639,PRAZOSIN,CHEMBL1639,"""Aliskiren, SPP100""",CHEMBL3508696,Metabolite M13/14,,,Callithrix jacchus,2,"Fig. 2.1.4.1, p.46",,,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2007/021985s000_PharmR_P2.pdf
CHEMBL1639,PRAZOSIN,CHEMBL1639,"""Aliskiren, SPP100""",CHEMBL3508696,Metabolite M13/14,,,Homo sapiens,3,"Fig. 9, p164/165",,,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2007/021985s000_ClinPharmR_P2.pdf; http://www.accessdata.fda.gov/drugsatfda_docs/nda/2007/021985s000_ClinPharmR_P3.pdf
CHEMBL1639,PRAZOSIN,CHEMBL1639,"""Aliskiren, SPP100""",CHEMBL3508697,"""Metabolite M10 and/or M11, Front peak incl. unidentified components""",,,Homo sapiens,3,"Fig. 9, p164/165",Hydrolysis of amino-isobutyramide group,,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2007/021985s000_ClinPharmR_P2.pdf; http://www.accessdata.fda.gov/drugsatfda_docs/nda/2007/021985s000_ClinPharmR_P3.pdf
CHEMBL1639,PRAZOSIN,CHEMBL1639,"""Aliskiren, SPP100""",CHEMBL3508697,"""Metabolite M10 and/or M11, Front peak incl. unidentified components""",,,Callithrix jacchus,2,"Fig. 2.1.4.1, p.46",Hydrolysis of the central amide bond,,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2007/021985s000_PharmR_P2.pdf
CHEMBL1639,PRAZOSIN,CHEMBL1639,"""Aliskiren, SPP100""",CHEMBL3507700,Metabolite M3,,,Mus musculus,1,"Fig. 2.1.1.1, p.35",N-demethylation,Species: Figure legend also mentions Rattus norvegicus.,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2007/021985s000_PharmR_P2.pdf
CHEMBL1639,PRAZOSIN,CHEMBL1639,"""Aliskiren, SPP100""",CHEMBL3507700,Metabolite M3,,,Homo sapiens,3,"Fig. 9, p164/165",O-demethylation,,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2007/021985s000_ClinPharmR_P2.pdf; http://www.accessdata.fda.gov/drugsatfda_docs/nda/2007/021985s000_ClinPharmR_P3.pdf
CHEMBL1639,PRAZOSIN,CHEMBL1639,"""Aliskiren, SPP100""",CHEMBL3507700,Metabolite M3,,,Callithrix jacchus,2,"Fig. 2.1.4.1, p.46",O-demethylation of the methoxypropoxy side chain,,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2007/021985s000_PharmR_P2.pdf
CHEMBL1639,PRAZOSIN,CHEMBL1639,"""Aliskiren, SPP100""",CHEMBL3507699,Metabolite M1,,,Homo sapiens,3,"Fig. 9, p164/165",O-demethylation,,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2007/021985s000_ClinPharmR_P2.pdf; http://www.accessdata.fda.gov/drugsatfda_docs/nda/2007/021985s000_ClinPharmR_P3.pdf
CHEMBL1639,PRAZOSIN,CHEMBL1639,"""Aliskiren, SPP100""",CHEMBL3507699,Metabolite M1,,,Mus musculus,1,"Fig. 2.1.1.1, p.35",Oxidative dealkylation,Species: Figure legend also mentions Rattus norvegicus.,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2007/021985s000_PharmR_P2.pdf
CHEMBL1639,PRAZOSIN,CHEMBL3507697,Metabolite M2,CHEMBL3507701,Metabolite M4,,,Callithrix jacchus,2,"Fig. 2.1.4.1, p.46",Dealkylation,,http://www.accessdata.fda.gov/drugsatfda_docs/nda/2007/021985s000_PharmR_P2.pdf
CHEMBL1200374,PRAZOSIN,CHEMBL1200374,"""Aromasin, Exemestane""",CHEMBL3407539,MII,CYP3A,CHEMBL2364675,Homo sapiens,1,fig 6,,Conditions:in-vitro,20876785
CHEMBL1200374,PRAZOSIN,CHEMBL1200374,"""Aromasin, Exemestane""",CHEMBL3526952,MI,CYP1A,CHEMBL3544905,Homo sapiens,1,fig 6,,Conditions:in-vitro,20876785
CHEMBL383824,PRAZOSIN,CHEMBL383824,17-DMAG,CHEMBL3526784,M2,CYP3A4/3A5,CHEMBL2111472,Homo sapiens,1,fig 9,,Conditions:Liver microsomes,21177985
CHEMBL383824,PRAZOSIN,CHEMBL383824,17-DMAG,CHEMBL3526783,M1,CYP3A4/3A5,CHEMBL2111472,Homo sapiens,1,fig 9,,Conditions:Liver microsomes,21177985
