Name of the Plant,Family,Common Name,Link
Aconitum violaceum  Jacq. Ex Stapf,RANUNCULACEAE,Tilia Kachang (Sutlej Basin),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009931&column=szBarcode
Acorus calamus  L.,ARACEAE,"Bach, Gora-bach",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003221&column=szBarcode
Acronychia pedunculata  (L.) Miq.,RUTACEAE,Paowlay (Nepal),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009965&column=szBarcode
Actaea spicata  L.,RANUNCULACEAE,Vishaphala (Kan.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009925&column=szBarcode
Actiniopteris radiata(Swartz)  Link,ACTINIOPTERIDACEAE,"Morpankhi, Morshikha (Local names)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003275&column=szBarcode
Actinodaphne hookeri  Meissn.,LAURACEAE,Tudambo (Oriya),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008845&column=szBarcode
Adansonia digitata  L.,BOMBACACEAE,"Gorak, Amli",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003871&column=szBarcode
Adenanthera pavonia  L.,MIMOSACEAE,"Barigumchi, Kunchandana (Sans.)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003924&column=szBarcode
Adenia wightiana  (Wall. ex Wight & Arn.) Engl.,PASSIFLORACEAE,Perumkorattaikodi (Tam.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013800&column=szBarcode
Adenostemma lavenia  (L.) Kuntze,ASTERACEAE,Jangli-jira,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013621&column=szBarcode
Adiantum capillus-veneris  L.,ADIANTACEAE,"Hansraj, Mubaraka",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003282&column=szBarcode
Adiantum caudatum  L.,ADIANTACEAE,Mayurshikha (Sans.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003284&column=szBarcode
Adiantum philippense  L.,ADIANTACEAE,Kalijhant,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003285&column=szBarcode
Adiantum venustum  D.Don,ADIANTACEAE,Mayir sikki (Tam.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003279&column=szBarcode
Adonis aestivalis  L.,RANUNCULACEAE,Summer Pheasant's Eye (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009952&column=szBarcode
Aegle marmelos  (L.) Corr.,RUTACEAE,Bel,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013488&column=szBarcode
Aerva javanica  (Burm.f.) Juss. ex Schult.,AMARANTHACEAE,Bur (Guj.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008910&column=szBarcode
Aerva lanata  (L.) Juss.,AMARANTHACEAE,"Gorakhganja, Chaya (Beng.)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008911&column=szBarcode
Aesculus indica  Colebr. ex Camb.,HIPPOCASTANACEAE,Pangar,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003574&column=szBarcode
Aganosma caryophyllata  G.Don,APOCYNACEAE,Maalati,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009282&column=szBarcode
Agave americana  Blanco,AMARYLLIDACEAE,"Bans-keora, Kantala",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003118&column=szBarcode
Agave americana  L.,AMARYLLIDACEAE,Chick-kuri (Local name),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003122&column=szBarcode
Agave angustifolia  Haw.,AMARYLLIDACEAE,Kantala (Sans.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003123&column=szBarcode
Agave sisalana  Perr. ex Engelm.,AMARYLLIDACEAE,Sisal (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003120&column=szBarcode
Ageratum conyzoides  L.,ASTERACEAE,Uchunti (Beng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013622&column=szBarcode
Aglaia elaeagnoidea  (Juss.) Benth.,MELIACEAE,"Gandha priyangu, Yerraaduga (Tel.)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009897&column=szBarcode
Agropyron repens  (L.) Beauv.,POACEAE,"Couch grass, Dog grass (Eng.)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003184&column=szBarcode
Ailanthus altissima  (Mill.) Swingle,SIMAROUBACEAE,Tree of Heaven (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013486&column=szBarcode
Ailanthus excelsa  Roxb.,SIMAROUBACEAE,"Arlu, Maruk",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013484&column=szBarcode
Ailanthus triphysa  (Dennst.) Alston,SIMAROUBACEAE,Guggul Dhup,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013482&column=szBarcode
Ajuga bracteosa  Wall. ex Benth.,LAMIACEAE,Nilkanthi (Sans.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008885&column=szBarcode
Alangium salvifolium  (L.f.) Wang.,ALANGIACEAE,"Akola, Dhera",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013767&column=szBarcode
Albizzia amara  (Roxb.) Boivin,MIMOSACEAE,Lallei (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003553&column=szBarcode
Albizzia lebbeck  (L.) Willd.,MIMOSACEAE,Siris,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003552&column=szBarcode
Albizzia odoratissima  (L.f.) Benth.,MIMOSACEAE,Kala siris,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003557&column=szBarcode
Aleurites mollucana  Willd.,EUPHORBIACEAE,Candle Nut Tree (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008968&column=szBarcode
Alhagi pseudoalhagi  (Bieb.) Desv.,FABACEAE,"Bharbharra, Jawasa",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003686&column=szBarcode
Alhagi pseudoalhagi  (Bieb.) Desv.,FABACEAE,"Bharbharra, Jawasa",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003688&column=szBarcode
Allamanda cathartica  L.,APOCYNACEAE,Harkakra (Beng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009265                                                                                                                               &column=szBarcode
Allium cepa  L.,LILIACEAE,Piyaz,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003095&column=szBarcode
Allium macleanii  Baker,LILIACEAE,Salabmisri,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003093&column=szBarcode
Alnus nepalensis  D.Don,BETULACEAE,Utis,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008926&column=szBarcode
Alnus nitida  Endl.,BETULACEAE,Utis,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008927&column=szBarcode
Alocasia macrorrhizos  (L.) G.Don,ARACEAE,Boro mankachu (Assam),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003214&column=szBarcode
Aloe vera  (L.) Burm.f.,LILIACEAE,Ghee-kunvar,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003086&column=szBarcode
Aloysia triphylla  (L'Herit) Britton,VERBENACEAE,Aloysia triphylla (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013195&column=szBarcode
Alpinia galanga  (L.) Willd.,ZINGIBERACEAE,"Kulanjan, Barakulanjan",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003138&column=szBarcode
Alpinia nigra  (Gaertn.) B.L.Burtt,ZINGIBERACEAE,Gong (Local name),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003140&column=szBarcode
Alstonia scholaris  (L.) R.Br.,APOCYNACEAE,"Chatium, Chattiyan",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009268&column=szBarcode
Alstonia venenata  R.Br.,APOCYNACEAE,Pazha Munnipala (Tam.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009270&column=szBarcode
Alternanthera sessilis  (L.) R.Br. ex. DC.,AMARANTHACEAE,"Gudari sag, Giojihra (Sans.)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008914&column=szBarcode
Althaea officinalis  L.,MALVACEAE,Marsh Mallow (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003901&column=szBarcode
Althaea rosea  (L.) Cav.,MALVACEAE,Holly-Hock (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003900&column=szBarcode
Altingia excelsa  Noronha,HAMAMELIDACEAE,Silaras,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013710&column=szBarcode
