Name of the Plant,Family,Common Name,Link
Cardiospermum helicacabum  L.,SAPINDACEAE,Kanphuti,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003583&column=szBarcode
Carduus nutans  L.,ASTERACEAE,Gulibadaward (Kashmir),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013654&column=szBarcode
Careya arborea  Roxb.,LECYTHIDACEAE,Kumbi,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013808&column=szBarcode
Carica papaya  L.,CARICACEAE,"Papeeta, Papaya",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013799&column=szBarcode
Carissa congesta  Wight,APOCYNACEAE,"Karaunda, Karonti",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009285&column=szBarcode
Carissa opaca  Stapf ex. Haines,APOCYNACEAE,"Karaunda, Karonti",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009286&column=szBarcode
Carmona microphylla  (Lam.) G.Don,BORAGINACEAE,Pala,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009710&column=szBarcode
Carpesium abrotanoides  L.,ASTERACEAE,Wotiangil (Kashmir),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013655&column=szBarcode
Carpesium cernuum  L.,ASTERACEAE,Nodding Carpesium (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013656&column=szBarcode
Carthamus lanatus  L.,ASTERACEAE,Saffron Thistle (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013660&column=szBarcode
Carthamus tinctorius  L.,ASTERACEAE,"Kusum, Karrah",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013657&column=szBarcode
Carum carvi  L.,APIACEAE,"Shia-jira, Zira",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013756&column=szBarcode
Caryota urens  L.,ARECACEAE,Mari,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003196&column=szBarcode
Casaeria graveolens  Dalzell,SAMYDACEAE,Safed-Karai,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013803&column=szBarcode
Casearia elliptica  Willd.,SAMYDACEAE,Chilla,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013802&column=szBarcode
Cassia angustifolia  Vahl,CAESALPINIACEAE,Bhuikhakhasa,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003495&column=szBarcode
Cassia mimosoides  L.,CAESALPINIACEAE,Naelaponna (Tel.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003496&column=szBarcode
Cassia pumila  Lam.,CAESALPINIACEAE,Sarmal (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003497&column=szBarcode
Cassia absus  L.,CAESALPINIACEAE,"Chaksu, Chakut",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003498&column=szBarcode
Cassia alata  L.,CAESALPINIACEAE,"Dadmurdan, Datkapat",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003500&column=szBarcode
Cassia alata  L.,CAESALPINIACEAE,"Dadmurdan, Datkapat",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003501&column=szBarcode
Cassia auriculata  L.,CAESALPINIACEAE,"Tarwar, Taroda",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003503&column=szBarcode
Cassia fistula  L.,CAESALPINIACEAE,Amaltas,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003513&column=szBarcode
Cassia italica  (Mill.) Spreng,CAESALPINIACEAE,Italian Senna (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003502&column=szBarcode
Cassia obtusifolia  L.,CAESALPINIACEAE,Panevar,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003505&column=szBarcode
Cassia occidentalis  L.,CAESALPINIACEAE,"Kasondi, Chakunda",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003511&column=szBarcode
Cassia siamea  Lam.,CAESALPINIACEAE,Kassod (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003509&column=szBarcode
Cassia sophera  L.,CAESALPINIACEAE,Kasunda,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003508&column=szBarcode
Cassia tora  L.,CAESALPINIACEAE,"Chakunda, Panevar",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003504&column=szBarcode
Cassytha filiformis  L.,LAURACEAE,Amarbeli,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009905&column=szBarcode
Castanea sativa  Mill.,FAGACEAE,Sweet Chestnut (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008922&column=szBarcode
Castanospermum australe  A.Cunn. ex Mudie,FABACEAE,Black bean (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003631&column=szBarcode
Casuarina equisetifolia  L.,CASUARINACEAE,Jangli saru,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009008&column=szBarcode
Catharanthus pusillus  (Murray) G.Don,APOCYNACEAE,Sangkhi (Sans.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009292&column=szBarcode
Catharanthus roseus  (L.) G. Don,APOCYNACEAE,"Sadabahar, Nayantara (Beng.)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009293&column=szBarcode
Cayratia pedata  (Lam.) Juss. ex Gagnep.,VITACEAE,Godhapadi (Sans.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003588&column=szBarcode
Cayratia trifolia  (L.) Domin.,VITACEAE,"Amal-bel, Ramchana",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003584&column=szBarcode
Cedrus deodara  (Roxb.ex D.Don) G.Don,PINACEAE,Devadaru (Sans.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009741&column=szBarcode
Ceiba pentandra  (L.) Gaertn.,BOMBACACEAE,"Safed simal, Hattian",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003870&column=szBarcode
Celastrus paniculatus  Willd.,CELASTRACEAE,Malkangni,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003603&column=szBarcode
Celosia argentia  L.,AMARANTHACEAE,"Sufaid murgha, Sarwari",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008907&column=szBarcode
Celtis caucasia  Willd.,ULMACEAE,Caucasian hackberry (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009003&column=szBarcode
Celtis cinnamomea  Lindl.,ULMACEAE,Pinari (Tam.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009015&column=szBarcode
Cenchrus biflorus  Roxb.,POACEAE,Bhurat (Local name),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003162&column=szBarcode
Centaurea calcitrapa  L.,ASTERACEAE,Purple star thistle (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013658&column=szBarcode
Centella asiatica  (L.) Urban,APIACEAE,Brahma-manduki,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013765&column=szBarcode
Centipeda minima  (L.) A.Braun & Asch.,ASTERACEAE,"Nakk-chikni, Nagdowana",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013661&column=szBarcode
Centranthera indica  (L.) Gamble,SCROPHULARIACEAE,Undir-kani (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009671&column=szBarcode
Cephaelis ipecacuanha  (Brot.) A.Rich.,RUBIACEAE,Ipecac (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013594&column=szBarcode
Ceratonia siliqua  L.,CAESALPINIACEAE,Kharnub (Punjab),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003494&column=szBarcode
Ceratophyllum demursum  L.,CERATOPHYLLACEAE,Sivara,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008921&column=szBarcode
Ceratopteris thaictroides  Brong.,PARKERIACEAE,Pan-necha (Local name),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003272&column=szBarcode
Cerbera manghas  L.,APOCYNACEAE,Dabur (Beng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009290&column=szBarcode
Cereus grandiflorus  Mill.,CACTACEAE,Night-Blooming Cereus,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013775&column=szBarcode
Ceriops tagal  (Perr.) C.B.Rob.,RHIZOPHORACEAE,Goran (Beng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013708&column=szBarcode
Ceropegia tuberosa  Roxb.,ASCLEPIADACEAE,Bhutumbi (Sanskrit),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009247&column=szBarcode
Cheiranthus cheiri  L.,BRASSICACEAE,Wall Flower (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003766&column=szBarcode
Chenopodium album  L.,CHENOPODIACEAE,Bethu sag,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008920&column=szBarcode
Chenopodium ambrosioides  L.,CHENOPODIACEAE,"Khatua, Katu ayamoddakam (Mal.)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008833&column=szBarcode
Chenopodium botrys  L.,CHENOPODIACEAE,Sokana (Local name),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008832&column=szBarcode
Chloranthus elatior  Link,CHLORANTHACEAE,Tall Chloranthus (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008867&column=szBarcode
Chloris virgata  Sw.,POACEAE,Gharaniagas (Rajasthan),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003191&column=szBarcode
Chlorophytum arundinaceum  Baker,LILIACEAE,Safed musli,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003089&column=szBarcode
Chloroxylon swietenia  DC.,RUTACEAE,"Bhirra, Girya",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009974&column=szBarcode
Chondrus crispus  Stackh.,GIGARTINIACEAE,Irish Moss (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003907&column=szBarcode
Chrozophora plicata  A.Juss.,EUPHORBIACEAE,Neelkanthi (Local name),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008974&column=szBarcode
Chrozophora rottleri  (Geis.) A.Juss.ex Spreng.,EUPHORBIACEAE,"Subali, Khudi-okra (Beng.)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008973&column=szBarcode
Chrysanthemum coronarium  L.,ASTERACEAE,Guldaudi,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013664&column=szBarcode
Chrysanthemum indicum  L.,ASTERACEAE,Guldaudi,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013665&column=szBarcode
Chrysobalanus icaco  L.,ROSACEAE,Coco Plum (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013731&column=szBarcode
Cicer arietinum  L.,FABACEAE,"But, Chana",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003665&column=szBarcode
Cichorium endivia  L.,ASTERACEAE,"Kasini, Kashini",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013667&column=szBarcode
Cichorium intybus  L.,ASTERACEAE,"Kasani, Kashini",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013666&column=szBarcode
Cicuta virosa  L,APIACEAE,Water Hemlock (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013753&column=szBarcode
Cimicifuga foetida  L.,RANUNCULACEAE,Jiunti (Punjab),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009924&column=szBarcode
Cinchona officinalis  L.f.,RUBIACEAE,Cinchona (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013580&column=szBarcode
Cinnamomum cassia  Benth.,LAURACEAE,Chinese Cinnamon (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008851&column=szBarcode
Cinnamomum glanduliferum  (Wall.) Meissn.,LAURACEAE,Gunserai (Assam),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008859&column=szBarcode
Cinnamomum glausescens  (Nees) Hand.-Mazz.,LAURACEAE,Rohu (Beng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008846&column=szBarcode
Cinnamomum impressinervium  Meissn.,LAURACEAE,Tejiya (Assamese),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008855&column=szBarcode
Cinnamomum macrocarpum  Hook.f.,LAURACEAE,Tejapatra (Sans.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008850&column=szBarcode
Cinnamomum obtusifolium  (Roxb.) Nees,LAURACEAE,"Kinton, Ram tezpat (Beng.)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008853&column=szBarcode
Cinnamomum pauciflorum  Nees,LAURACEAE,Dinglatterdop (Khasi Hills),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008858&column=szBarcode
Cinnamomum tamala  (Buch.-Ham.) T.Nees & C.H.Eberm.,LAURACEAE,Tejpatra,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008857&column=szBarcode
Cinnamomum verum  J.Presl.,LAURACEAE,Dalchini,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008843&column=szBarcode
Cinnamomum camphora  (L.) Sieb.,LAURACEAE,"Kapur, Karpur",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008861&column=szBarcode
Cirsium arvense  (L.) Scop.,ASTERACEAE,Creeping Thistle (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013668&column=szBarcode
Cissampelos pareira  L.,MENISPERMACEAE,Akanadi,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013495&column=szBarcode
Cissus adnata  Roxb.,VITACEAE,Nadena (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003589&column=szBarcode
Cissus pallida  (Wight & Arn.) Planch.,VITACEAE,Kondage (Kan.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003592&column=szBarcode
Cissus quadrangularis  L.,VITACEAE,"Hadjora, Harsankari",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003593&column=szBarcode
Cissus repens  Lam.,VITACEAE,Nelaboddu (Tel.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003595&column=szBarcode
Cistanche tabulosa  (Schrenk) Wight,OROBANCHACEAE,Pilo agio (Gujrati),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009669&column=szBarcode
Citrullus colocynthis  (L.) Schrad.,CUCURBITACEAE,"Indrayan, Makal",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013787&column=szBarcode
Citrus aurantifolia  (Christm.) Swingle,RUTACEAE,Kaghzi-nimbu,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013474&column=szBarcode
Citrus aurantium  L.,RUTACEAE,Khatta,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013492&column=szBarcode
Citrus grandis  (L.) Osbeck.,RUTACEAE,"Chakotra, Mahanimbu",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013473&column=szBarcode
Citrus medica  L.,RUTACEAE,"Bara nimbu, Bijaura",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013476&column=szBarcode
Citrus sinensis  (L.) Osbeck.,RUTACEAE,"Musambi, Narangi",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013472&column=szBarcode
Claoxylon indicum  Hassk.,EUPHORBIACEAE,Laping Budak (Malay),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008972&column=szBarcode
Clausena excavata  Burm.f.,RUTACEAE,Cemamar,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009964&column=szBarcode
Clausena pentaphylla  (Roxb.) DC.,RUTACEAE,Ratanjote,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009963&column=szBarcode
Cleistanthus collinus  (Roxb.) Benth. ex Hook.f.,EUPHORBIACEAE,Garari,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008955&column=szBarcode
Clematis gauriana  Roxb. ex DC.,RANUNCULACEAE,Telejadari (Kan.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009957&column=szBarcode
Clematis smilacifolia  Wall.,RANUNCULACEAE,Gurraputige (Tel.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009959&column=szBarcode
Clematis triloba  B.Heyne ex Roth,RANUNCULACEAE,Murhari,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009958&column=szBarcode
Cleome chelidoni  L.,CAPPARACEAE,Gulabi Tilwan (Local names),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003742&column=szBarcode
Cleome gynandra  (L.) L.,CAPPARACEAE,"Hulul, Churota",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003741&column=szBarcode
Cleome monophylla  L.,CAPPARACEAE,Velakkeerai (Local name),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003747&column=szBarcode
Cleome vahliana  Fresen.,CAPPARACEAE,Panwar (Urdu),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003745&column=szBarcode
Cleome viscosa  L.,CAPPARACEAE,"Hulhul, Hurhur",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003743&column=szBarcode
Clerodendrum inerme  (L.f.) Gaertn.,VERBENACEAE,"Lanjai, Sangkupi",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009078&column=szBarcode
Clerodendrum multiflorum  (Burm.f.) Kuntze,VERBENACEAE,Arni,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009079&column=szBarcode
Clerodendrum philippenum  Schauer,VERBENACEAE,Satabeli (Beng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009077&column=szBarcode
Clerodendrum serratum  (L.) Moon,VERBENACEAE,"Barangi, Bamanhati (Beng.)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009074&column=szBarcode
Clerodendrum viscosum  Vent.,VERBENACEAE,Bhant,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009076&column=szBarcode
Clinopodium vulgare  L.,LAMIACEAE,Cushion Calamint (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008896&column=szBarcode
Clitoria ternatia  L.,FABACEAE,Aparajit,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003629&column=szBarcode
Cocccinia grandis  (L.) Voigt.,CUCURBITACEAE,"Bhimb, Telakucha (Beng.)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013789&column=szBarcode
Coccoloba uvifera  L.,POLYGONACEAE,Sea grape (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008878&column=szBarcode
Cocculus hirsutus  (L.) Diels,MENISPERMACEAE,Jamtikibel,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013990&column=szBarcode
Cocculus laurifolius  DC.,MENISPERMACEAE,Laurel-Leaved Snail Tree (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013992&column=szBarcode
Cocculus pendulus  (J.R.Forst. & G.Forst.) Diels,MENISPERMACEAE,Illarbillar (Punjab),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013989&column=szBarcode
Cochlospermum religiosum  (L.) Alston,COCHLOSPERMACEAE,"Kumbi, Galgal",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003833&column=szBarcode
Cocos nucifera  L.,ARECACEAE,Nariyal,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003202&column=szBarcode
Codiaeum variegatum  Blume,EUPHORBIACEAE,Patabahari (Beng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008975&column=szBarcode
Codonopsis ovata  Benth.,CAMPANULACEAE,Kashmir Bonnet Bellflower (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009232&column=szBarcode
Coffea arabica  L.,RUBIACEAE,Arabian coffee (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013572&column=szBarcode
Coix lacryma-jobi  L.,POACEAE,Sankru,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003165&column=szBarcode
Colchicum luteum  Baker,LILIACEAE,"Suranjana (Guj., Hind. & Mar.)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003076&column=szBarcode
Coldenia procumbens  L.,BORAGINACEAE,Tripungki,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013155&column=szBarcode
Colebrookea oppositifolia  Sm.,LAMIACEAE,"Binda, Pansra",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008894&column=szBarcode
Coleus amboinicus  Lour.,LAMIACEAE,Pathorchur,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008902&column=szBarcode
Coleus scutallarioides  (L.) Benth.,LAMIACEAE,Coleus (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008903&column=szBarcode
Colocasia esculenta  (L.) Schott,ARACEAE,"Arvi, Ghuiya",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003215&column=szBarcode
Combretum nanum  Buch.-Ham. ex D.Don,COMBRETACEAE,Bhuidaudi (Local name),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013717&column=szBarcode
Combretum pilosum  Roxb.,COMBRETACEAE,"Bhoree loth, Thoonia loth",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013718&column=szBarcode
Combretum roxburghii  Spreng.,COMBRETACEAE,Punk,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013720&column=szBarcode
Commelina benghalensis  L.,COMMELINACEAE,Kanchara,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003064&column=szBarcode
Commelina longifolia  Lam.,COMMELINACEAE,Jalpipari,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003066&column=szBarcode
Commelina paludosa  Blume,COMMELINACEAE,Patugia (Local name),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003068&column=szBarcode
Conium maculatum  L.,APIACEAE,Poison Hemlock (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013752&column=szBarcode
Connarus monocarpus  L.,CONNARACEAE,Sunder (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003559&column=szBarcode
Consolida ambigua  (L.) Ball. & Heywood,RANUNCULACEAE,Rocket Larkspur (Eng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009944&column=szBarcode
Convolvulus arvensis  L.,CONVOLVULACEAE,"Beri, Haranpadi",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009698&column=szBarcode
Convolvulus auricomus  (A.Rich.) Bhandari,CONVOLVULACEAE,Runchhaliveldi (Guj.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009697&column=szBarcode
Convolvulus microphyllus  Sieb.ex Spreng.,CONVOLVULACEAE,"Shankhapushpi, Dodak (Punjab)",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009699&column=szBarcode
Coptis teeta  Wall.,RANUNCULACEAE,"Mamira, Mamiran",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009947&column=szBarcode
Corchorus aestuans  L.,TILIACEAE,Titapat (Beng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003839&column=szBarcode
Corchorus capsularis  L.,TILIACEAE,Narcha,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003841&column=szBarcode
Corchorus depressus  (L.) Stocks,TILIACEAE,Baphuli,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003838&column=szBarcode
Corchorus fascicularis  L.,TILIACEAE,Bhirupatrika (Sans.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003836&column=szBarcode
Corchorus olitorius  L.,TILIACEAE,Mithapat (Beng.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003840&column=szBarcode
Corchorus trilocularis  L.,TILIACEAE,Kadu-chinch (Local name),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003837&column=szBarcode
Cordia dichotoma  Forst.,BORAGINACEAE,"Lasora, Chota lasora",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009717&column=szBarcode
Cordia gharaf  (Forst.) Ehrenb. ex Aschers.,BORAGINACEAE,Gondni,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009715&column=szBarcode
Cordia myxa  Roxb.,BORAGINACEAE,"Lasora, Chota lasora",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009713&column=szBarcode
Cordia myxa  Roxb. (non L.),BORAGINACEAE,"Lasora, Chota lasora",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009714&column=szBarcode
Cordia obliqua  Willd.,BORAGINACEAE,"Lasora, Chota lasora",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009711&column=szBarcode
Cordia vestita  (DC) Hook.f. & Thomson,BORAGINACEAE,"Kumpaiman, Bairola",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009719&column=szBarcode
Coriandrum sativum  L.,APIACEAE,"Dhania, Dhanya",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013740&column=szBarcode
Coriaria nepalensis  Wall.,CORIARIACEAE,"Masuri, Makola",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003560&column=szBarcode
Corydalis govaniana  Wall.,FUMARIACEAE,Bhutkis,https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003769&column=szBarcode
Corydalis vaginans  Royle,FUMARIACEAE,Mamiran (Kurra Valley),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003770&column=szBarcode
Corylus jacquemontii  Decne.,BETULACEAE,Thangi (Punjab),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000008924&column=szBarcode
Coscinium fenestratum  (Gaertn.) Colebr.,MENISPERMACEAE,"Jhar-i-huldi, Haldigachi",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000013993&column=szBarcode
Cosmostigma racemosum  (Roxb.) Wight,ASCLEPIADACEAE,Shendvel (Mar.),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000009240&column=szBarcode
Costus speciosus  (Koen. ex Retz.),ZINGIBERACEAE,"Keu, Kemuka",https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003136&column=szBarcode
Cotinus coggygria  Scop.,ANACARDIACEAE,Tunga (Punjab),https://archive.bsi.gov.in/echoHerbarium-Details/en?link=CAL0000003566&column=szBarcode
