,id,cid,dsn,cmpdname,srccmpd,srccmpdname,srccmpdurl,srctarget,srctargetname,srctargeturl,protacxn,protname,geneid,genename,taxid,taxname,action,actname,actvalue,evids,evurls,pmids,dois,citations
0,2082673,54711988,BindingDB,"N-[(4-fluorophenyl)methyl]-5-hydroxy-1-methyl-2-{2-[2-(morpholin-4-yl)-2-oxoacetamido]propan-2-yl}-6-oxo-1,6-dihydropyrimidine-4-carboxamide",25339,"N-[(4-fluorophenyl)methyl]-5-hydroxy-1-methyl-2-{2-[2-(morpholin-4-yl)-2-oxoacetamido]propan-2-yl}-6-oxo-1,6-dihydropyrimidine-4-carboxamide",https://www.bindingdb.org/rwd/bind/chemsearch/marvin/MolStructure.jsp?monomerid=25339,239,Gag-Pol polyprotein,https://www.bindingdb.org/rwd/jsp/dbsearch/PrimarySearch_ki.jsp?tag=pol&polymerid=239,P04585,Gag-Pol polyprotein,155348,gag-pol,11706,HIV-1 M:B_HXB2R,,IC50 (nM),20,PMID:18763751|DOI:10.1021/jm800245z,https://www.ncbi.nlm.nih.gov/pubmed/18763751|https://doi.org/10.1021/jm800245z,18763751,10.1021/jm800245z,
1,2082674,54711990,BindingDB,"N-methyl-pyrimidinone derivative, 14",25338,"N-[2-(4-{[(4-fluorophenyl)methyl]carbamoyl}-5-hydroxy-1-methyl-6-oxo-1,6-dihydropyrimidin-2-yl)propan-2-yl]-N',N',N''-trimethylethanediamide",https://www.bindingdb.org/rwd/bind/chemsearch/marvin/MolStructure.jsp?monomerid=25338,239,Gag-Pol polyprotein,https://www.bindingdb.org/rwd/jsp/dbsearch/PrimarySearch_ki.jsp?tag=pol&polymerid=239,P04585,Gag-Pol polyprotein,155348,gag-pol,11706,HIV-1 M:B_HXB2R,,IC50 (nM),15,PMID:18763751|DOI:10.1021/jm800245z,https://www.ncbi.nlm.nih.gov/pubmed/18763751|https://doi.org/10.1021/jm800245z,18763751,10.1021/jm800245z,
2,2082675,54712035,BindingDB,"N-[(4-fluorophenyl)methyl]-5-hydroxy-2-[2-(1H-imidazol-4-ylformamido)propan-2-yl]-1-methyl-6-oxo-1,6-dihydropyrimidine-4-carboxamide",25350,"N-[(4-fluorophenyl)methyl]-5-hydroxy-2-[2-(1H-imidazol-4-ylformamido)propan-2-yl]-1-methyl-6-oxo-1,6-dihydropyrimidine-4-carboxamide",https://www.bindingdb.org/rwd/bind/chemsearch/marvin/MolStructure.jsp?monomerid=25350,239,Gag-Pol polyprotein,https://www.bindingdb.org/rwd/jsp/dbsearch/PrimarySearch_ki.jsp?tag=pol&polymerid=239,P04585,Gag-Pol polyprotein,155348,gag-pol,11706,HIV-1 M:B_HXB2R,,IC50 (nM),6,PMID:18763751|DOI:10.1021/jm800245z,https://www.ncbi.nlm.nih.gov/pubmed/18763751|https://doi.org/10.1021/jm800245z,18763751,10.1021/jm800245z,
