,id,cid,dsn,cmpdname,srccmpd,srccmpdname,srccmpdurl,srctarget,srctargetname,srctargeturl,protacxn,protname,geneid,genename,taxid,taxname,action,actname,actvalue,evids,evurls,pmids,dois,citations
0,37311,297,Comparative Toxicogenomics Database (CTD),Methane,D037742,"Nanotubes, Carbon",https://ctdbase.org/detail.go?type=chem&acc=D037742,6688,SPI1,https://ctdbase.org/detail.go?type=gene&acc=6688,,,6688,SPI1,10090,Mus musculus (house mouse),"Nanotubes, carbon results in increased expression of SPI1 mrna|nanotubes, carbon analog results in increased expression of SPI1 mRNA",,,PMID:25554681,https://www.ncbi.nlm.nih.gov/pubmed/25554681,25554681,,
1,37312,297,Comparative Toxicogenomics Database (CTD),Methane,D037742,"Nanotubes, Carbon",https://ctdbase.org/detail.go?type=chem&acc=D037742,6689,SPIB,https://ctdbase.org/detail.go?type=gene&acc=6689,,,6689,SPIB,10090,Mus musculus (house mouse),"Nanotubes, carbon analog results in decreased expression of SPIB mrna|nanotubes, carbon results in decreased expression of SPIB mRNA",,,PMID:25554681,https://www.ncbi.nlm.nih.gov/pubmed/25554681,25554681,,
2,37313,297,Comparative Toxicogenomics Database (CTD),Methane,D037742,"Nanotubes, Carbon",https://ctdbase.org/detail.go?type=chem&acc=D037742,121599,SPIC,https://ctdbase.org/detail.go?type=gene&acc=121599,,,121599,SPIC,10090,Mus musculus (house mouse),"Nanotubes, carbon analog results in increased expression of SPIC mRNA",,,PMID:25620056,https://www.ncbi.nlm.nih.gov/pubmed/25620056,25620056,,
