, id,cid,dsn,cmpdname,srccmpd,srccmpdname,srccmpdurl,srctarget,srctargetname,srctargeturl,protacxn,protname,geneid,genename,taxid,taxname,action,actname,actvalue,evids,evurls,pmids,dois,citations
494,697901,5997,Comparative Toxicogenomics Database (CTD),Cholesterol,D002784,Cholesterol,https://ctdbase.org/detail.go?type=chem&acc=D002784,949,SCARB1,https://ctdbase.org/detail.go?type=gene&acc=949,,,949.0,SCARB1,9606.0,Homo sapiens (human),SCARB1 protein affects the uptake of cholesterol,,,PMID:22442701,https://www.ncbi.nlm.nih.gov/pubmed/22442701,22442701,,
495,697902,5997,Comparative Toxicogenomics Database (CTD),Cholesterol,D002784,Cholesterol,https://ctdbase.org/detail.go?type=chem&acc=D002784,6319,SCD,https://ctdbase.org/detail.go?type=gene&acc=6319,,,6319.0,SCD,9606.0,Homo sapiens (human),Cholesterol inhibits the reaction [FGF7 protein results in increased expression of SCD mrna],,,PMID:16162944,https://www.ncbi.nlm.nih.gov/pubmed/16162944,16162944,,
496,697903,5997,Comparative Toxicogenomics Database (CTD),Cholesterol,D002784,Cholesterol,https://ctdbase.org/detail.go?type=chem&acc=D002784,20249,SCD1,https://ctdbase.org/detail.go?type=gene&acc=20249,,,20249.0,Scd1,10090.0,Mus musculus (house mouse),Cholesterol results in increased expression of SCD1 mRNA,,,PMID:19260826,https://www.ncbi.nlm.nih.gov/pubmed/19260826,19260826,,
497,697904,5997,Comparative Toxicogenomics Database (CTD),Cholesterol,D002784,Cholesterol,https://ctdbase.org/detail.go?type=chem&acc=D002784,20249,SCD1,https://ctdbase.org/detail.go?type=gene&acc=20249,,,20249.0,Scd1,10090.0,Mus musculus (house mouse),[lard co-treated with cholesterol co-treated with sucrose co-treated with atrazine] results in increased expression of SCD1 mrna|[lard co-treated with cholesterol co-treated with sucrose co-treated with cypermethrin] results in increased expression of SCD1 mRNA,,,PMID:24440342,https://www.ncbi.nlm.nih.gov/pubmed/24440342,24440342,,
498,697905,5997,Comparative Toxicogenomics Database (CTD),Cholesterol,D002784,Cholesterol,https://ctdbase.org/detail.go?type=chem&acc=D002784,51246,SHISA5,https://ctdbase.org/detail.go?type=gene&acc=51246,,,51246.0,SHISA5,10090.0,Mus musculus (house mouse),"[cholesterol co-treated with 1,2-dioleoyloxy-3-(trimethylammonium)propane] results in increased expression of SHISA5 mRNA",,,PMID:22129739,https://www.ncbi.nlm.nih.gov/pubmed/22129739,22129739,,
499,697906,5997,Comparative Toxicogenomics Database (CTD),Cholesterol,D002784,Cholesterol,https://ctdbase.org/detail.go?type=chem&acc=D002784,23411,SIRT1,https://ctdbase.org/detail.go?type=gene&acc=23411,,,23411.0,SIRT1,10090.0,Mus musculus (house mouse),[dietary fats co-treated with bisphenol A co-treated with cholesterol] results in decreased expression of SIRT1 protein|resveratrol inhibits the reaction [[dietary fats co-treated with bisphenol A co-treated with cholesterol] results in decreased expression of SIRT1 protein],,,PMID:33239236,https://www.ncbi.nlm.nih.gov/pubmed/33239236,33239236,,
500,697907,5997,Comparative Toxicogenomics Database (CTD),Cholesterol,D002784,Cholesterol,https://ctdbase.org/detail.go?type=chem&acc=D002784,23411,SIRT1,https://ctdbase.org/detail.go?type=gene&acc=23411,,,23411.0,SIRT1,10116.0,Rattus norvegicus (Norway rat),"[niacinamide results in decreased activity of SIRT1 protein] inhibits the reaction [fructose results in increased abundance of cholesterol]|[6-chloro-2,3,4,9-tetrahydro-1H-carbazole-1-carboxamide results in decreased activity of SIRT1 protein] inhibits the reaction [fructose results in increased abundance of cholesterol]",,,PMID:21212096,https://www.ncbi.nlm.nih.gov/pubmed/21212096,21212096,,
501,697908,5997,Comparative Toxicogenomics Database (CTD),Cholesterol,D002784,Cholesterol,https://ctdbase.org/detail.go?type=chem&acc=D002784,23411,SIRT1,https://ctdbase.org/detail.go?type=gene&acc=23411,,,23411.0,SIRT1,10116.0,Rattus norvegicus (Norway rat),[cholesterol co-treated with ergosterol] results in decreased expression of SIRT1 mrna|resveratrol inhibits the reaction [[cholesterol co-treated with ergosterol] results in decreased expression of SIRT1 mrna],,,PMID:25833014,https://www.ncbi.nlm.nih.gov/pubmed/25833014,25833014,,
502,698126,5997,Comparative Toxicogenomics Database (CTD),Cholesterol,D002784,Cholesterol,https://ctdbase.org/detail.go?type=chem&acc=D002784,6507,SLC1A3,https://ctdbase.org/detail.go?type=gene&acc=6507,,,6507.0,SLC1A3,9606.0,Homo sapiens (human),Cholesterol results in increased expression of SLC1A3 mRNA,,,PMID:26296894,https://www.ncbi.nlm.nih.gov/pubmed/26296894,26296894,,
503,698127,5997,Comparative Toxicogenomics Database (CTD),Cholesterol,D002784,Cholesterol,https://ctdbase.org/detail.go?type=chem&acc=D002784,64078,SLC28A3,https://ctdbase.org/detail.go?type=gene&acc=64078,,,64078.0,SLC28A3,9606.0,Homo sapiens (human),Cholesterol results in increased expression of SLC28A3 mRNA,,,PMID:26296894,https://www.ncbi.nlm.nih.gov/pubmed/26296894,26296894,,
504,698128,5997,Comparative Toxicogenomics Database (CTD),Cholesterol,D002784,Cholesterol,https://ctdbase.org/detail.go?type=chem&acc=D002784,6514,SLC2A2,https://ctdbase.org/detail.go?type=gene&acc=6514,,,6514.0,SLC2A2,10090.0,Mus musculus (house mouse),Cypermethrin promotes the reaction [[lard co-treated with cholesterol co-treated with sucrose] results in increased expression of SLC2A2 mrna]|ethinyl estradiol promotes the reaction [[lard co-treated with cholesterol co-treated with sucrose] results in increased expression of SLC2A2 mrna]|atrazine promotes the reaction [[lard co-treated with cholesterol co-treated with sucrose] results in increased expression of SLC2A2 mrna]|[lard co-treated with cholesterol co-treated with sucrose] results in increased expression of SLC2A2 mRNA,,,PMID:24440342,https://www.ncbi.nlm.nih.gov/pubmed/24440342,24440342,,
505,698129,5997,Comparative Toxicogenomics Database (CTD),Cholesterol,D002784,Cholesterol,https://ctdbase.org/detail.go?type=chem&acc=D002784,6521,SLC4A1,https://ctdbase.org/detail.go?type=gene&acc=6521,,,6521.0,SLC4A1,10116.0,Rattus norvegicus (Norway rat),[hydrogen peroxide co-treated with cholesterol] affects the localization of SLC4A1 protein|benzoylcarbonyl-aspartyl-glutamyl-valyl-aspartyl-fluoromethyl ketone inhibits the reaction [[hydrogen peroxide co-treated with cholesterol] affects the localization of SLC4A1 protein],,,PMID:20946910,https://www.ncbi.nlm.nih.gov/pubmed/20946910,20946910,,
506,698130,5997,Comparative Toxicogenomics Database (CTD),Cholesterol,D002784,Cholesterol,https://ctdbase.org/detail.go?type=chem&acc=D002784,8140,SLC7A5,https://ctdbase.org/detail.go?type=gene&acc=8140,,,8140.0,SLC7A5,9606.0,Homo sapiens (human),Cholesterol results in increased expression of SLC7A5 mRNA,,,PMID:26296894,https://www.ncbi.nlm.nih.gov/pubmed/26296894,26296894,,
507,698131,5997,Comparative Toxicogenomics Database (CTD),Cholesterol,D002784,Cholesterol,https://ctdbase.org/detail.go?type=chem&acc=D002784,4088,SMAD3,https://ctdbase.org/detail.go?type=gene&acc=4088,,,4088.0,SMAD3,10090.0,Mus musculus (house mouse),"[cholesterol co-treated with 1,2-dioleoyloxy-3-(trimethylammonium)propane] results in increased expression of SMAD3 mRNA",,,PMID:22129739,https://www.ncbi.nlm.nih.gov/pubmed/22129739,22129739,,
508,698132,5997,Comparative Toxicogenomics Database (CTD),Cholesterol,D002784,Cholesterol,https://ctdbase.org/detail.go?type=chem&acc=D002784,6609,SMPD1,https://ctdbase.org/detail.go?type=gene&acc=6609,,,6609.0,SMPD1,10090.0,Mus musculus (house mouse),SMPD1 protein affects the reaction [cholesterol analog results in increased activity of CASP1 protein]|smpd1 protein affects the reaction [cholesterol analog affects the localization of CASP1 protein]|smpd1 protein affects the reaction [cholesterol analog affects the localization of NLRP3 protein]|smpd1 protein affects the reaction [cholesterol analog affects the localization of PYCARD protein]|smpd1 protein affects the reaction [cholesterol analog results in increased expression of IL1B protein],,,PMID:28633109,https://www.ncbi.nlm.nih.gov/pubmed/28633109,28633109,,
509,698133,5997,Comparative Toxicogenomics Database (CTD),Cholesterol,D002784,Cholesterol,https://ctdbase.org/detail.go?type=chem&acc=D002784,55512,SMPD3,https://ctdbase.org/detail.go?type=gene&acc=55512,,,55512.0,SMPD3,10090.0,Mus musculus (house mouse),"[cholesterol co-treated with 1,2-dioleoyloxy-3-(trimethylammonium)propane] results in increased expression of SMPD3 mRNA",,,PMID:22129739,https://www.ncbi.nlm.nih.gov/pubmed/22129739,22129739,,
510,698134,5997,Comparative Toxicogenomics Database (CTD),Cholesterol,D002784,Cholesterol,https://ctdbase.org/detail.go?type=chem&acc=D002784,7329,UBE2I,https://ctdbase.org/detail.go?type=gene&acc=7329,,,7329.0,UBE2I,9606.0,Homo sapiens (human),UBE2I protein inhibits the reaction [lipopolysaccharides results in increased abundance of cholesterol],,,PMID:33677747,https://www.ncbi.nlm.nih.gov/pubmed/33677747,33677747,,
511,698373,5997,Comparative Toxicogenomics Database (CTD),Cholesterol,D002784,Cholesterol,https://ctdbase.org/detail.go?type=chem&acc=D002784,6648,SOD2,https://ctdbase.org/detail.go?type=gene&acc=6648,,,6648.0,SOD2,9606.0,Homo sapiens (human),"[[EGF protein binds to 1,2-dioleoyl-3-phosphoethanolamine-n-(poly(ethyleneglycol))-hydroxy succinamide] co-treated with [1,2-distearoyllecithin co-treated with cholesterol co-treated with 1,2-distearoyl-sn-glycero-3-phosphoethanolamine-N-methoxy-poly(ethylene glycol 2000)]] affects the expression of SOD2 mrna|[[[egf protein binds to 1,2-dioleoyl-3-phosphoethanolamine-n-(poly(ethyleneglycol))-hydroxy succinamide] co-treated with [1,2-distearoyllecithin co-treated with cholesterol co-treated with 1,2-distearoyl-sn-glycero-3-phosphoethanolamine-N-methoxy-poly(ethylene glycol 2000)]] co-treated with silver compounds] affects the expression of SOD2 mrna|[[egf protein binds to 1,2-dioleoyl-3-phosphoethanolamine-n-(poly(ethyleneglycol))-hydroxy succinamide] co-treated with [1,2-distearoyllecithin co-treated with cholesterol co-treated with 1,2-distearoyl-sn-glycero-3-phosphoethanolamine-N-methoxy-poly(ethylene glycol 2000)]] affects the reaction [silver compounds affects the expression of SOD2 mrna]",,,PMID:35385781,https://www.ncbi.nlm.nih.gov/pubmed/35385781,35385781,,
512,698374,5997,Comparative Toxicogenomics Database (CTD),Cholesterol,D002784,Cholesterol,https://ctdbase.org/detail.go?type=chem&acc=D002784,6272,SORT1,https://ctdbase.org/detail.go?type=gene&acc=6272,,,6272.0,SORT1,10090.0,Mus musculus (house mouse),Chloroquine affects the reaction [SORT1 protein affects the reaction [LDLR protein affects the abundance of cholesterol]]|sort1 protein affects the reaction [LDLR protein affects the abundance of cholesterol],,,PMID:30950489,https://www.ncbi.nlm.nih.gov/pubmed/30950489,30950489,,
513,698375,5997,Comparative Toxicogenomics Database (CTD),Cholesterol,D002784,Cholesterol,https://ctdbase.org/detail.go?type=chem&acc=D002784,6272,SORT1,https://ctdbase.org/detail.go?type=gene&acc=6272,,,6272.0,SORT1,10090.0,Mus musculus (house mouse),SORT1 protein results in decreased abundance of cholesterol,,,PMID:25805502,https://www.ncbi.nlm.nih.gov/pubmed/25805502,25805502,,
